|6.6.6
dunite_stx11_1.tab                                                                                  
           2
P(bar)  
   10.000000000000000     
   1515.0505050505051     
         100
T(K)    
   800.00000000000000     
   14.141414141414142     
         100
           3
rho,kg/m3      vp,km/s        vs,km/s       
  3429.43        8.63091        4.84372     
  3433.01        8.64218        4.84722     
  3436.58        8.65337        4.85068     
  3445.55        8.68826        4.87714     
  3449.94        8.70298        4.88433     
  3453.46        8.71387        4.88784     
  3457.05        8.72496        4.89150     
  3460.55        8.73576        4.89497     
  3464.10        8.74675        4.89859     
  3467.58        8.75746        4.90203     
  3471.04        8.76813        4.90545     
  3474.55        8.77896        4.90899     
  3477.99        8.78955        4.91238     
  3481.48        8.80030        4.91590     
  3484.90        8.81080        4.91926     
  3488.31        8.82126        4.92260     
  3491.75        8.83186        4.92605     
  3495.14        8.84224        4.92936     
  3498.56        8.85273        4.93275     
  3501.92        8.86303        4.93603     
  3505.27        8.87329        4.93929     
  3508.65        8.88365        4.94262     
  3511.98        8.89383        4.94585     
  3515.36        8.90417        4.94921     
  3518.67        8.91428        4.95241     
  3521.99        8.92442        4.95565     
  3527.83        8.94573        4.96611     
  3542.90        9.00666        5.00250     
  3546.14        9.01654        5.00560     
  3685.75        9.59419        5.39259     
  3688.67        9.60347        5.39543     
  3722.13        9.74949        5.49045     
  3724.96        9.75855        5.49320     
  3727.78        9.76758        5.49593     
  3730.64        9.77673        5.49875     
  3733.45        9.78571        5.50146     
  3736.28        9.79480        5.50426     
  3739.11        9.80388        5.50706     
  3741.90        9.81277        5.50974     
  3744.68        9.82164        5.51241     
  3747.47        9.83052        5.51509     
  3753.74        9.85494        5.52766     
  3756.49        9.86369        5.53028     
  3796.09        10.0080        5.62140     
  3814.67        10.0701        5.66074     
  3828.64        10.1197        5.69100     
  3844.11        10.1749        5.72507     
  3858.41        10.2269        5.75688     
  3876.86        10.2916        5.79777     
  3880.30        10.3022        5.80207     
  3882.99        10.3103        5.80458     
  3885.64        10.3182        5.80702     
  3888.27        10.3260        5.80945     
  3210.99        7.17817        3.49826     
  3235.92        7.99674        4.62957     
  3241.18        8.01314        4.63620     
  3246.08        8.02889        4.64203     
  3257.98        8.07205        4.66543     
  3262.31        8.08653        4.67002     
  3266.62        8.10088        4.67456     
  3270.90        8.11519        4.67910     
  3275.18        8.12935        4.68359     
  3279.42        8.14338        4.68803     
  3283.94        8.15881        4.69275     
  3288.14        8.17264        4.69713     
  3292.31        8.18638        4.70148     
  3296.81        8.20164        4.70614     
  3300.94        8.21519        4.71043     
  3305.05        8.22865        4.71470     
  3309.35        8.24298        4.71913     
  3313.42        8.25627        4.72334     
  3317.61        8.27010        4.72766     
  3321.65        8.28322        4.73181     
  3325.66        8.29627        4.73594     
  3329.74        8.30959        4.74012     
  3333.72        8.32248        4.74420     
  3337.68        8.33530        4.74825     
  3341.70        8.34832        4.75234     
  3345.62        8.36099        4.75635     
  3349.58        8.37379        4.76037     
  3353.48        8.38632        4.76433     
  3357.35        8.39879        4.76826     
  3361.23        8.41123        4.77217     
  3365.08        8.42356        4.77605     
  3368.94        8.43588        4.77989     
  3372.77        8.44811        4.78372     
  3376.57        8.46025        4.78754     
  3380.35        8.47233        4.79133     
  3384.12        8.48435        4.79512     
  3387.87        8.49631        4.79887     
  3391.63        8.50825        4.80260     
  3395.35        8.52008        4.80631     
  3399.05        8.53186        4.80999     
  3402.75        8.54356        4.81365     
  3406.43        8.55523        4.81729     
  3410.09        8.56683        4.82092     
  3413.75        8.57838        4.82451     
  3417.39        8.58988        4.82810     
  3421.02        8.60135        4.83166     
  3424.63        8.61274        4.83521     
  3428.23        8.62407        4.83874     
  3431.82        8.63537        4.84225     
  3435.38        8.64663        4.84579     
  3438.95        8.65781        4.84923     
  3448.70        8.69641        4.87941     
  3452.23        8.70732        4.88293     
  3455.74        8.71819        4.88644     
  3459.33        8.72925        4.89007     
  3462.89        8.74026        4.89369     
  3466.37        8.75100        4.89715     
  3469.84        8.76169        4.90058     
  3473.36        8.77254        4.90413     
  3476.80        8.78315        4.90753     
  3480.29        8.79392        4.91106     
  3483.72        8.80444        4.91442     
  3487.13        8.81492        4.91777     
  3490.58        8.82554        4.92123     
  3493.97        8.83594        4.92455     
  3497.39        8.84646        4.92795     
  3500.76        8.85678        4.93123     
  3504.12        8.86706        4.93451     
  3507.50        8.87743        4.93784     
  3510.84        8.88763        4.94108     
  3514.21        8.89799        4.94445     
  3517.53        8.90812        4.94766     
  3520.83        8.91817        4.95082     
  3524.33        8.92911        4.95458     
  3534.66        8.96986        4.97773     
  3537.92        8.97980        4.98086     
  3626.87        9.33912        5.22044     
  3629.92        9.34868        5.22341     
  3720.86        9.74319        5.48564     
  3723.71        9.75232        5.48843     
  3726.54        9.76137        5.49117     
  3729.40        9.77054        5.49400     
  3732.21        9.77954        5.49672     
  3735.05        9.78865        5.49952     
  3737.85        9.79757        5.50221     
  3740.65        9.80648        5.50489     
  3743.43        9.81536        5.50757     
  3746.25        9.82437        5.51034     
  3749.03        9.83327        5.51305     
  3753.78        9.85092        5.52133     
  3791.91        9.98753        5.60769     
  3802.46        10.0263        5.63036     
  3815.02        10.0729        5.65823     
  3830.38        10.1262        5.69127     
  3845.33        10.1800        5.72437     
  3868.76        10.2599        5.77603     
  3879.17        10.2962        5.79767     
  3881.84        10.3042        5.80014     
  3884.50        10.3121        5.80262     
  3887.16        10.3200        5.80509     
  3209.47        7.17219        3.49517     
  3234.44        7.98829        4.62418     
  3239.47        8.00434        4.63028     
  3244.65        8.02056        4.63675     
  3256.41        8.06368        4.65991     
  3260.76        8.07819        4.66451     
  3265.09        8.09249        4.66902     
  3269.38        8.10686        4.67357     
  3273.66        8.12106        4.67807     
  3277.92        8.13515        4.68253     
  3282.23        8.14955        4.68705     
  3286.66        8.16451        4.69167     
  3290.84        8.17829        4.69604     
  3295.34        8.19361        4.70072     
  3299.49        8.20720        4.70502     
  3303.61        8.22071        4.70930     
  3307.92        8.23508        4.71375     
  3312.00        8.24841        4.71798     
  3316.20        8.26229        4.72231     
  3320.24        8.27546        4.72648     
  3324.27        8.28854        4.73063     
  3328.35        8.30190        4.73482     
  3332.34        8.31483        4.73891     
  3336.34        8.32783        4.74302     
  3340.33        8.34075        4.74708     
  3344.26        8.35346        4.75110     
  3348.23        8.36629        4.75514     
  3352.13        8.37886        4.75911     
  3356.03        8.39138        4.76302     
  3359.91        8.40384        4.76697     
  3363.76        8.41620        4.77087     
  3367.62        8.42855        4.77472     
  3371.47        8.44082        4.77857     
  3375.27        8.45299        4.78239     
  3379.06        8.46510        4.78620     
  3382.83        8.47715        4.79000     
  3386.59        8.48914        4.79376     
  3390.36        8.50111        4.79750     
  3394.08        8.51298        4.80122     
  3397.80        8.52478        4.80492     
  3401.50        8.53652        4.80858     
  3405.19        8.54821        4.81224     
  3408.86        8.55984        4.81588     
  3412.52        8.57142        4.81948     
  3416.16        8.58294        4.82308     
  3419.80        8.59444        4.82665     
  3423.42        8.60586        4.83021     
  3427.02        8.61722        4.83375     
  3430.62        8.62854        4.83727     
  3434.19        8.63983        4.84082     
  3437.75        8.65104        4.84430     
  3447.46        8.68981        4.87447     
  3450.99        8.70075        4.87800     
  3454.51        8.71164        4.88152     
  3458.10        8.72273        4.88516     
  3461.67        8.73375        4.88879     
  3465.16        8.74451        4.89225     
  3468.63        8.75523        4.89570     
  3472.15        8.76610        4.89925     
  3475.60        8.77673        4.90266     
  3479.10        8.78752        4.90620     
  3482.53        8.79807        4.90958     
  3485.94        8.80857        4.91294     
  3489.40        8.81921        4.91640     
  3492.80        8.82963        4.91972     
  3496.22        8.84017        4.92313     
  3499.60        8.85051        4.92643     
  3502.96        8.86081        4.92971     
  3506.35        8.87120        4.93305     
  3509.69        8.88142        4.93630     
  3513.07        8.89180        4.93968     
  3516.39        8.90195        4.94290     
  3519.69        8.91202        4.94606     
  3522.99        8.92209        4.94925     
  3533.53        8.96375        4.97300     
  3536.79        8.97371        4.97614     
  3565.00        9.08101        5.04602     
  3628.74        9.34253        5.21865     
  3690.93        9.60832        5.39411     
  3722.46        9.74608        5.48364     
  3725.29        9.75515        5.48639     
  3728.15        9.76433        5.48923     
  3730.97        9.77334        5.49196     
  3733.81        9.78247        5.49477     
  3736.62        9.79142        5.49747     
  3739.42        9.80034        5.50016     
  3742.21        9.80924        5.50285     
  3745.03        9.81827        5.50562     
  3747.81        9.82718        5.50834     
  3751.34        9.83938        5.51314     
  3785.59        9.96167        5.58987     
  3798.03        10.0064        5.61676     
  3808.19        10.0438        5.63854     
  3824.07        10.0994        5.67308     
  3844.09        10.1696        5.71765     
  3856.13        10.2141        5.74433     
  3875.74        10.2823        5.78784     
  3880.70        10.2981        5.79574     
  3883.34        10.3059        5.79811     
  3886.02        10.3140        5.80068     
  3207.94        7.16618        3.49206     
  3232.86        7.97961        4.61856     
  3238.07        7.99602        4.62507     
  3243.22        8.01225        4.63146     
  3254.85        8.05527        4.65435     
  3259.20        8.06982        4.65896     
  3263.54        8.08428        4.66355     
  3267.85        8.09862        4.66809     
  3272.14        8.11286        4.67261     
  3276.40        8.12694        4.67705     
  3280.65        8.14098        4.68150     
  3285.01        8.15562        4.68606     
  3289.37        8.17018        4.69058     
  3293.88        8.18555        4.69528     
  3298.03        8.19919        4.69960     
  3302.19        8.21301        4.70399     
  3306.39        8.22686        4.70834     
  3310.56        8.24062        4.71265     
  3314.68        8.25411        4.71691     
  3318.79        8.26759        4.72116     
  3322.81        8.28065        4.72530     
  3326.92        8.29414        4.72953     
  3330.95        8.30723        4.73366     
  3334.94        8.32018        4.73775     
  3338.94        8.33315        4.74184     
  3342.90        8.34597        4.74590     
  3346.84        8.35870        4.74991     
  3350.77        8.37135        4.75387     
  3354.68        8.38394        4.75785     
  3358.57        8.39645        4.76178     
  3362.43        8.40882        4.76567     
  3366.28        8.42123        4.76960     
  3370.13        8.43361        4.77351     
  3373.94        8.44581        4.77735     
  3377.74        8.45795        4.78117     
  3381.53        8.47004        4.78496     
  3385.29        8.48206        4.78873     
  3389.07        8.49406        4.79249     
  3392.80        8.50595        4.79622     
  3396.52        8.51779        4.79993     
  3400.23        8.52955        4.80361     
  3403.92        8.54126        4.80728     
  3407.60        8.55292        4.81093     
  3411.27        8.56453        4.81455     
  3414.92        8.57608        4.81815     
  3418.56        8.58757        4.82173     
  3422.18        8.59902        4.82530     
  3425.79        8.61041        4.82885     
  3429.40        8.62176        4.83237     
  3432.99        8.63301        4.83583     
  3436.56        8.64425        4.83933     
  3440.12        8.65547        4.84285     
  3449.76        8.69416        4.87306     
  3453.28        8.70507        4.87658     
  3456.79        8.71592        4.88007     
  3460.37        8.72699        4.88371     
  3463.86        8.73777        4.88718     
  3467.34        8.74851        4.89064     
  3470.88        8.75944        4.89423     
  3474.34        8.77009        4.89765     
  3477.84        8.78090        4.90119     
  3481.28        8.79147        4.90458     
  3484.70        8.80199        4.90795     
  3488.16        8.81266        4.91142     
  3491.56        8.82311        4.91476     
  3495.00        8.83366        4.91817     
  3498.38        8.84402        4.92147     
  3501.74        8.85434        4.92476     
  3505.15        8.86483        4.92819     
  3508.50        8.87507        4.93144     
  3511.88        8.88541        4.93477     
  3515.20        8.89558        4.93800     
  3518.56        8.90585        4.94130     
  3521.86        8.91594        4.94450     
  3525.16        8.92600        4.94768     
  3530.56        8.94533        4.95690     
  3540.64        8.98485        4.97933     
  3584.28        9.15539        5.09204     
  3671.32        9.52124        5.33485     
  3721.17        9.73965        5.47874     
  3724.01        9.74874        5.48150     
  3726.88        9.75796        5.48435     
  3729.70        9.76698        5.48708     
  3732.55        9.77613        5.48991     
  3735.39        9.78524        5.49271     
  3738.19        9.79419        5.49542     
  3740.98        9.80310        5.49811     
  3743.78        9.81205        5.50083     
  3746.58        9.82096        5.50353     
  3749.36        9.82985        5.50622     
  3781.87        9.94458        5.57806     
  3789.89        9.97460        5.59479     
  3805.57        10.0297        5.62895     
  3815.12        10.0663        5.65000     
  3835.70        10.1357        5.69453     
  3850.56        10.1894        5.72766     
  3869.78        10.2598        5.77208     
  3879.55        10.2920        5.79130     
  3882.22        10.3000        5.79379     
  3884.88        10.3079        5.79626     
  3206.41        7.16014        3.48894     
  3231.32        7.97101        4.61304     
  3236.61        7.98754        4.61973     
  3241.68        8.00364        4.62593     
  3253.28        8.04681        4.64877     
  3257.64        8.06143        4.65341     
  3261.99        8.07594        4.65801     
  3266.31        8.09033        4.66257     
  3270.61        8.10453        4.66707     
  3274.88        8.11881        4.67160     
  3279.14        8.13290        4.67607     
  3283.40        8.14702        4.68052     
  3287.84        8.16206        4.68517     
  3292.05        8.17597        4.68956     
  3296.38        8.19051        4.69409     
  3300.52        8.20406        4.69838     
  3304.73        8.21797        4.70275     
  3308.92        8.23183        4.70710     
  3313.24        8.24623        4.71153     
  3317.33        8.25967        4.71579     
  3321.33        8.27264        4.71992     
  3325.49        8.28628        4.72418     
  3329.54        8.29955        4.72838     
  3333.53        8.31248        4.73246     
  3337.54        8.32549        4.73655     
  3341.47        8.33820        4.74059     
  3345.45        8.35108        4.74465     
  3349.38        8.36379        4.74865     
  3353.30        8.37640        4.75263     
  3357.21        8.38901        4.75660     
  3361.09        8.40150        4.76054     
  3364.96        8.41392        4.76444     
  3368.79        8.42621        4.76832     
  3372.62        8.43847        4.77219     
  3376.42        8.45064        4.77600     
  3380.23        8.46279        4.77983     
  3384.00        8.47484        4.78361     
  3387.76        8.48683        4.78737     
  3391.51        8.49877        4.79113     
  3395.25        8.51069        4.79486     
  3398.97        8.52249        4.79856     
  3402.67        8.53423        4.80223     
  3406.36        8.54593        4.80589     
  3410.03        8.55754        4.80951     
  3413.68        8.56912        4.81313     
  3417.33        8.58065        4.81673     
  3420.96        8.59212        4.82031     
  3424.58        8.60356        4.82387     
  3428.19        8.61493        4.82741     
  3431.78        8.62626        4.83096     
  3435.35        8.63752        4.83446     
  3438.92        8.64871        4.83791     
  3447.06        8.68094        4.86177     
  3452.00        8.69833        4.87152     
  3455.57        8.70936        4.87513     
  3459.15        8.72045        4.87878     
  3462.65        8.73125        4.88226     
  3466.13        8.74201        4.88573     
  3469.67        8.75296        4.88933     
  3473.13        8.76364        4.89276     
  3476.65        8.77447        4.89631     
  3480.08        8.78506        4.89971     
  3483.51        8.79561        4.90309     
  3486.98        8.80630        4.90657     
  3490.38        8.81676        4.90992     
  3493.83        8.82733        4.91333     
  3497.21        8.83771        4.91665     
  3500.58        8.84805        4.91994     
  3503.99        8.85856        4.92338     
  3507.34        8.86883        4.92664     
  3510.73        8.87919        4.92998     
  3514.06        8.88937        4.93321     
  3517.37        8.89946        4.93637     
  3520.68        8.90956        4.93958     
  3524.02        8.91982        4.94289     
  3529.25        8.93832        4.95158     
  3535.96        8.96331        4.96452     
  3569.95        9.09522        5.05080     
  3641.26        9.39035        5.24611     
  3719.91        9.73335        5.47392     
  3722.77        9.74252        5.47672     
  3725.61        9.75162        5.47949     
  3728.45        9.76075        5.48229     
  3731.29        9.76985        5.48508     
  3734.11        9.77886        5.48782     
  3736.93        9.78788        5.49056     
  3739.74        9.79687        5.49330     
  3742.54        9.80585        5.49605     
  3745.35        9.81477        5.49874     
  3748.14        9.82367        5.50144     
  3752.02        9.83745        5.50727     
  3784.59        9.95172        5.57907     
  3793.72        9.98662        5.59897     
  3810.25        10.0438        5.63478     
  3827.94        10.1050        5.67339     
  3842.86        10.1598        5.70718     
  3858.89        10.2162        5.74250     
  3878.42        10.2860        5.78696     
  3881.07        10.2939        5.78936     
  3883.73        10.3019        5.79183     
  3204.88        7.15408        3.48580     
  3229.93        7.96255        4.60785     
  3234.92        7.97860        4.61384     
  3240.02        7.99480        4.62010     
  3251.70        8.03837        4.64319     
  3256.08        8.05302        4.64784     
  3260.43        8.06757        4.65246     
  3264.77        8.08201        4.65704     
  3269.07        8.09634        4.66158     
  3273.36        8.11059        4.66610     
  3277.63        8.12472        4.67059     
  3281.87        8.13876        4.67504     
  3286.20        8.15326        4.67957     
  3290.53        8.16774        4.68409     
  3294.85        8.18224        4.68862     
  3299.01        8.19588        4.69294     
  3303.25        8.20997        4.69734     
  3307.39        8.22354        4.70164     
  3311.65        8.23774        4.70605     
  3315.81        8.25147        4.71036     
  3319.92        8.26493        4.71460     
  3324.04        8.27844        4.71885     
  3328.10        8.29172        4.72303     
  3332.12        8.30476        4.72715     
  3336.10        8.31766        4.73124     
  3340.08        8.33055        4.73531     
  3344.08        8.34355        4.73940     
  3348.00        8.35619        4.74340     
  3351.93        8.36888        4.74741     
  3355.84        8.38151        4.75137     
  3359.73        8.39402        4.75532     
  3363.60        8.40647        4.75925     
  3367.45        8.41883        4.76314     
  3371.28        8.43110        4.76700     
  3375.12        8.44338        4.77086     
  3378.91        8.45553        4.77469     
  3382.70        8.46762        4.77848     
  3386.47        8.47964        4.78227     
  3390.23        8.49162        4.78603     
  3393.97        8.50354        4.78977     
  3397.69        8.51538        4.79347     
  3401.40        8.52717        4.79717     
  3405.09        8.53889        4.80084     
  3408.78        8.55056        4.80448     
  3412.44        8.56215        4.80811     
  3416.09        8.57372        4.81172     
  3419.73        8.58522        4.81531     
  3423.36        8.59667        4.81888     
  3426.97        8.60806        4.82243     
  3430.56        8.61940        4.82596     
  3434.15        8.63069        4.82947     
  3437.72        8.64193        4.83297     
  3441.28        8.65311        4.83644     
  3450.73        8.69163        4.86650     
  3454.24        8.70251        4.87001     
  3457.84        8.71365        4.87369     
  3461.34        8.72447        4.87718     
  3464.83        8.73525        4.88065     
  3468.39        8.74624        4.88427     
  3471.85        8.75693        4.88771     
  3475.38        8.76781        4.89127     
  3478.82        8.77841        4.89468     
  3482.25        8.78898        4.89807     
  3485.73        8.79968        4.90154     
  3489.14        8.81016        4.90490     
  3492.60        8.82084        4.90840     
  3495.99        8.83124        4.91172     
  3499.36        8.84160        4.91502     
  3502.78        8.85208        4.91841     
  3506.13        8.86236        4.92168     
  3509.53        8.87275        4.92503     
  3512.86        8.88296        4.92828     
  3516.22        8.89326        4.93159     
  3519.54        8.90337        4.93479     
  3522.87        8.91361        4.93810     
  3526.18        8.92369        4.94130     
  3534.68        8.95643        4.95928     
  3565.84        9.07721        5.03797     
  3641.79        9.39297        5.24680     
  3712.66        9.69985        5.45070     
  3721.49        9.73615        5.47185     
  3724.34        9.74530        5.47464     
  3727.19        9.75442        5.47744     
  3730.02        9.76350        5.48020     
  3732.86        9.77257        5.48297     
  3735.68        9.78161        5.48573     
  3738.50        9.79063        5.48848     
  3741.31        9.79961        5.49121     
  3744.11        9.80855        5.49393     
  3746.90        9.81748        5.49665     
  3749.69        9.82638        5.49935     
  3782.07        9.94011        5.57071     
  3789.55        9.96730        5.58574     
  3798.68        10.0027        5.60595     
  3811.47        10.0488        5.63389     
  3827.43        10.1055        5.66924     
  3840.58        10.1531        5.69826     
  3860.82        10.2233        5.74332     
  3879.92        10.2878        5.78492     
  3882.59        10.2958        5.78740     
  3203.34        7.14798        3.48265     
  3228.32        7.95369        4.60217     
  3233.55        7.97023        4.60870     
  3238.59        7.98640        4.61483     
  3250.11        8.02985        4.63758     
  3254.51        8.04457        4.64225     
  3258.87        8.05917        4.64689     
  3263.22        8.07366        4.65149     
  3267.54        8.08804        4.65605     
  3271.83        8.10233        4.66059     
  3276.11        8.11649        4.66508     
  3280.36        8.13061        4.66956     
  3284.65        8.14488        4.67406     
  3289.02        8.15960        4.67863     
  3293.24        8.17358        4.68305     
  3297.49        8.18770        4.68748     
  3301.72        8.20170        4.69188     
  3305.89        8.21543        4.69622     
  3310.15        8.22964        4.70064     
  3314.32        8.24337        4.70495     
  3318.35        8.25648        4.70913     
  3322.61        8.27066        4.71352     
  3326.67        8.28393        4.71770     
  3330.66        8.29682        4.72179     
  3334.72        8.31011        4.72598     
  3338.71        8.32310        4.73008     
  3342.69        8.33594        4.73413     
  3346.64        8.34872        4.73817     
  3350.57        8.36140        4.74217     
  3354.50        8.37409        4.74616     
  3358.39        8.38664        4.75013     
  3362.26        8.39908        4.75405     
  3366.12        8.41147        4.75796     
  3369.96        8.42378        4.76183     
  3373.80        8.43612        4.76572     
  3377.61        8.44829        4.76954     
  3381.40        8.46039        4.77334     
  3385.18        8.47246        4.77714     
  3388.94        8.48446        4.78092     
  3392.69        8.49640        4.78466     
  3396.42        8.50827        4.78838     
  3400.13        8.52005        4.79207     
  3403.84        8.53184        4.79577     
  3407.52        8.54351        4.79942     
  3411.20        8.55517        4.80307     
  3414.86        8.56677        4.80669     
  3418.50        8.57828        4.81028     
  3422.13        8.58973        4.81383     
  3425.75        8.60119        4.81744     
  3429.35        8.61253        4.82097     
  3432.94        8.62385        4.82449     
  3436.52        8.63512        4.82799     
  3440.08        8.64633        4.83148     
  3446.27        8.66986        4.84691     
  3453.02        8.69595        4.86507     
  3456.57        8.70694        4.86865     
  3460.11        8.71789        4.87222     
  3463.64        8.72882        4.87578     
  3467.15        8.73967        4.87930     
  3470.65        8.75047        4.88281     
  3474.14        8.76123        4.88630     
  3477.61        8.77194        4.88976     
  3481.07        8.78261        4.89321     
  3484.53        8.79324        4.89664     
  3487.96        8.80380        4.90004     
  3491.38        8.81432        4.90342     
  3494.81        8.82488        4.90686     
  3498.21        8.83532        4.91020     
  3501.59        8.84572        4.91354     
  3504.97        8.85608        4.91686     
  3508.35        8.86642        4.92017     
  3511.70        8.87669        4.92345     
  3515.05        8.88695        4.92674     
  3518.38        8.89713        4.92997     
  3521.71        8.90733        4.93324     
  3525.03        8.91745        4.93646     
  3530.14        8.93544        4.94482     
  3558.71        9.04703        5.01688     
  3606.78        9.24254        5.14517     
  3685.09        9.57585        5.36637     
  3720.22        9.72978        5.46697     
  3723.07        9.73894        5.46977     
  3725.92        9.74807        5.47256     
  3728.76        9.75717        5.47534     
  3731.61        9.76632        5.47816     
  3734.43        9.77533        5.48089     
  3737.25        9.78436        5.48364     
  3740.07        9.79338        5.48639     
  3742.87        9.80233        5.48912     
  3745.67        9.81128        5.49184     
  3748.46        9.82019        5.49455     
  3752.25        9.83262        5.49957     
  3783.64        9.94248        5.56861     
  3794.17        9.98192        5.59174     
  3802.93        10.0160        5.61108     
  3822.91        10.0850        5.65523     
  3838.05        10.1383        5.68844     
  3852.47        10.1901        5.72051     
  3874.66        10.2670        5.77040     
  3881.44        10.2897        5.78296     
  3201.79        7.14186        3.47949     
  3226.71        7.94482        4.59647     
  3231.98        7.96149        4.60310     
  3237.14        7.97797        4.60950     
  3248.53        8.02132        4.63196     
  3252.93        8.03610        4.63666     
  3257.31        8.05074        4.64131     
  3261.66        8.06528        4.64592     
  3265.99        8.07972        4.65051     
  3270.30        8.09406        4.65506     
  3274.58        8.10829        4.65958     
  3278.85        8.12243        4.66407     
  3283.08        8.13646        4.66852     
  3287.45        8.15116        4.67310     
  3291.80        8.16572        4.67764     
  3296.00        8.17962        4.68204     
  3300.23        8.19363        4.68645     
  3304.42        8.20745        4.69081     
  3308.62        8.22137        4.69517     
  3312.76        8.23501        4.69948     
  3316.86        8.24840        4.70372     
  3321.15        8.26272        4.70813     
  3325.23        8.27605        4.71234     
  3329.24        8.28912        4.71648     
  3333.31        8.30245        4.72069     
  3337.24        8.31506        4.72469     
  3341.30        8.32834        4.72886     
  3345.21        8.34094        4.73286     
  3349.20        8.35388        4.73692     
  3353.14        8.36662        4.74093     
  3357.03        8.37913        4.74488     
  3360.92        8.39169        4.74886     
  3364.77        8.40409        4.75278     
  3368.63        8.41644        4.75665     
  3372.47        8.42876        4.76052     
  3376.28        8.44095        4.76439     
  3380.10        8.45316        4.76820     
  3383.87        8.46522        4.77201     
  3387.65        8.47727        4.77579     
  3391.40        8.48924        4.77955     
  3395.14        8.50113        4.78328     
  3398.86        8.51299        4.78700     
  3402.57        8.52477        4.79069     
  3406.26        8.53648        4.79436     
  3409.94        8.54816        4.79801     
  3413.61        8.55979        4.80165     
  3417.26        8.57134        4.80526     
  3420.90        8.58284        4.80884     
  3424.52        8.59427        4.81242     
  3428.13        8.60566        4.81596     
  3431.73        8.61701        4.81950     
  3435.31        8.62829        4.82301     
  3438.88        8.63953        4.82650     
  3442.44        8.65073        4.82999     
  3451.75        8.68923        4.86002     
  3455.30        8.70025        4.86362     
  3458.85        8.71122        4.86719     
  3462.38        8.72213        4.87074     
  3465.89        8.73299        4.87426     
  3469.39        8.74380        4.87776     
  3472.89        8.75461        4.88128     
  3476.37        8.76537        4.88478     
  3479.84        8.77605        4.88823     
  3483.30        8.78670        4.89167     
  3486.74        8.79732        4.89510     
  3490.17        8.80786        4.89850     
  3493.59        8.81837        4.90188     
  3497.00        8.82887        4.90526     
  3500.39        8.83927        4.90859     
  3503.78        8.84967        4.91193     
  3507.16        8.86004        4.91527     
  3510.52        8.87034        4.91856     
  3513.88        8.88063        4.92186     
  3517.22        8.89085        4.92512     
  3520.55        8.90104        4.92837     
  3523.88        8.91121        4.93163     
  3527.18        8.92131        4.93484     
  3546.53        8.99599        4.98177     
  3610.93        9.26028        5.15602     
  3672.17        9.51852        5.32693     
  3718.94        9.72340        5.46208     
  3721.80        9.73256        5.46487     
  3724.65        9.74171        5.46768     
  3727.50        9.75084        5.47047     
  3730.35        9.75997        5.47326     
  3733.17        9.76903        5.47604     
  3736.00        9.77808        5.47880     
  3738.83        9.78712        5.48155     
  3741.64        9.79611        5.48430     
  3744.44        9.80506        5.48702     
  3747.25        9.81401        5.48975     
  3750.03        9.82290        5.49244     
  3782.30        9.93576        5.56341     
  3787.16        9.95323        5.57194     
  3798.48        9.99589        5.59724     
  3812.39        10.0452        5.62760     
  3829.05        10.1035        5.66432     
  3842.65        10.1535        5.69500     
  3860.17        10.2150        5.73406     
  3880.29        10.2836        5.77851     
  3200.23        7.13570        3.47631     
  3225.25        7.93622        4.59113     
  3230.33        7.95255        4.59731     
  3235.49        7.96905        4.60370     
  3246.93        8.01273        4.62631     
  3251.34        8.02758        4.63103     
  3255.73        8.04229        4.63571     
  3260.10        8.05689        4.64035     
  3264.44        8.07137        4.64495     
  3268.76        8.08576        4.64952     
  3273.05        8.10004        4.65406     
  3277.33        8.11422        4.65856     
  3281.58        8.12831        4.66304     
  3285.87        8.14260        4.66754     
  3290.24        8.15730        4.67212     
  3294.51        8.17154        4.67659     
  3298.69        8.18530        4.68095     
  3302.89        8.19919        4.68533     
  3307.09        8.21308        4.68971     
  3311.26        8.22685        4.69404     
  3315.38        8.24038        4.69832     
  3319.54        8.25409        4.70261     
  3323.72        8.26792        4.70692     
  3327.78        8.28118        4.71111     
  3331.86        8.29452        4.71531     
  3335.91        8.30773        4.71947     
  3339.86        8.32050        4.72352     
  3343.86        8.33350        4.72762     
  3347.82        8.34633        4.73166     
  3351.75        8.35910        4.73571     
  3355.64        8.37155        4.73965     
  3359.55        8.38423        4.74365     
  3363.45        8.39674        4.74757     
  3367.29        8.40905        4.75146     
  3371.15        8.42144        4.75535     
  3374.98        8.43371        4.75922     
  3378.79        8.44590        4.76305     
  3382.57        8.45801        4.76686     
  3386.34        8.47004        4.77066     
  3390.11        8.48207        4.77443     
  3393.86        8.49400        4.77817     
  3397.59        8.50587        4.78190     
  3401.30        8.51768        4.78560     
  3405.00        8.52943        4.78928     
  3408.69        8.54113        4.79295     
  3412.36        8.55277        4.79659     
  3416.02        8.56434        4.80021     
  3419.66        8.57587        4.80381     
  3423.29        8.58735        4.80739     
  3426.91        8.59877        4.81095     
  3430.52        8.61015        4.81450     
  3434.10        8.62144        4.81801     
  3437.68        8.63273        4.82153     
  3441.24        8.64393        4.82501     
  3446.37        8.66264        4.83578     
  3454.04        8.69353        4.85857     
  3457.59        8.70453        4.86215     
  3461.12        8.71546        4.86571     
  3464.64        8.72634        4.86924     
  3468.14        8.73718        4.87275     
  3471.66        8.74804        4.87630     
  3475.14        8.75877        4.87977     
  3478.62        8.76953        4.88327     
