|6.6.6
dunite_stx11_1.tab                                                                                  
           2
P(bar)  
   10.000000000000000     
   1515.0505050505051     
         100
T(K)    
   800.00000000000000     
   14.141414141414142     
         100
           3
rho,kg/m3      vp,km/s        vs,km/s       
  3746.44        9.85524        5.55734     
  3752.70        9.88007        5.56994     
  3767.16        9.93740        5.60344     
  3773.28        9.95877        5.61427     
  3775.99        9.96729        5.61675     
  3814.18        10.1060        5.70379     
  3833.81        10.1757        5.74688     
  3852.01        10.2381        5.78558     
  3854.57        10.2456        5.78769     
  3876.86        10.3210        5.83548     
  3879.50        10.3289        5.83795     
  3882.16        10.3368        5.84045     
  3884.77        10.3446        5.84283     
  3887.29        10.3518        5.84479     
  3889.88        10.3595        5.84711     
  3892.60        10.3678        5.84990     
  3895.16        10.3753        5.85211     
  3897.73        10.3828        5.85433     
  3900.27        10.3902        5.85648     
  3227.29        7.24206        3.53136     
  3252.44        8.08859        4.68914     
  3257.11        8.10354        4.69448     
  3261.86        8.11862        4.70002     
  3273.61        8.16050        4.72279     
  3279.00        8.17690        4.72970     
  3283.21        8.19074        4.73405     
  3287.84        8.20633        4.73884     
  3292.03        8.22016        4.74318     
  3296.16        8.23367        4.74744     
  3300.56        8.24847        4.75199     
  3304.65        8.26180        4.75619     
  3308.87        8.27569        4.76048     
  3312.92        8.28885        4.76463     
  3316.96        8.30194        4.76875     
  3321.08        8.31541        4.77297     
  3325.07        8.32834        4.77704     
  3329.10        8.34140        4.78113     
  3333.06        8.35418        4.78515     
  3337.00        8.36689        4.78915     
  3340.98        8.37980        4.79321     
  3344.89        8.39237        4.79717     
  3348.81        8.40499        4.80111     
  3352.69        8.41742        4.80501     
  3356.55        8.42978        4.80889     
  3360.39        8.44207        4.81276     
  3364.22        8.45430        4.81660     
  3368.05        8.46653        4.82042     
  3371.85        8.47864        4.82422     
  3375.63        8.49069        4.82799     
  3379.41        8.50272        4.83176     
  3383.16        8.51465        4.83549     
  3386.89        8.52652        4.83919     
  3390.62        8.53833        4.84288     
  3394.32        8.55008        4.84655     
  3398.02        8.56179        4.85021     
  3401.70        8.57343        4.85383     
  3405.36        8.58499        4.85742     
  3409.01        8.59652        4.86100     
  3412.65        8.60800        4.86457     
  3416.29        8.61947        4.86816     
  3419.90        8.63084        4.87169     
  3423.50        8.64216        4.87521     
  3427.08        8.65342        4.87869     
  3430.66        8.66463        4.88215     
  3436.01        8.68283        4.89248     
  3444.74        8.71424        4.91593     
  3448.27        8.72513        4.91943     
  3451.85        8.73616        4.92304     
  3455.36        8.74697        4.92651     
  3458.91        8.75793        4.93012     
  3462.39        8.76865        4.93355     
  3465.86        8.77932        4.93696     
  3469.37        8.79013        4.94050     
  3472.82        8.80072        4.94388     
  3476.30        8.81146        4.94740     
  3479.73        8.82196        4.95075     
  3483.14        8.83242        4.95408     
  3486.58        8.84299        4.95750     
  3489.97        8.85337        4.96080     
  3493.39        8.86384        4.96418     
  3496.76        8.87414        4.96745     
  3500.11        8.88440        4.97071     
  3503.50        8.89481        4.97409     
  3506.87        8.90512        4.97740     
  3510.20        8.91526        4.98061     
  3513.52        8.92537        4.98381     
  3519.41        8.94726        4.99452     
  3525.85        8.97158        5.00681     
  3530.48        8.98742        5.01376     
  3543.15        9.03796        5.04330     
  3546.38        9.04779        5.04637     
  3549.60        9.05759        5.04942     
  3567.03        9.12626        5.09129     
  3577.18        9.16437        5.11313     
  3670.68        9.54039        5.36586     
  3728.92        9.79349        5.53243     
  3731.73        9.80244        5.53511     
  3734.56        9.81153        5.53792     
  3737.38        9.82051        5.54065     
  3740.16        9.82937        5.54330     
  3743.51        9.84090        5.54760     
  3746.05        9.84857        5.54953     
  3758.30        9.89978        5.57873     
  3772.13        9.95293        5.60985     
  3774.84        9.96146        5.61233     
  3809.87        10.0879        5.69139     
  3832.72        10.1700        5.74261     
  3835.32        10.1777        5.74482     
  3837.91        10.1854        5.74702     
  3875.70        10.3149        5.83103     
  3878.38        10.3229        5.83357     
  3881.01        10.3307        5.83601     
  3883.62        10.3384        5.83832     
  3886.17        10.3459        5.84048     
  3888.78        10.3536        5.84280     
  3891.53        10.3620        5.84569     
  3894.10        10.3696        5.84793     
  3896.66        10.3771        5.85016     
  3899.22        10.3846        5.85235     
  3225.84        7.23639        3.52842     
  3250.93        8.08030        4.68372     
  3255.71        8.09553        4.68930     
  3260.43        8.11063        4.69480     
  3272.20        8.15259        4.71761     
  3277.50        8.16873        4.72436     
  3281.72        8.18266        4.72872     
  3286.09        8.19708        4.73327     
  3290.59        8.21223        4.73786     
  3294.73        8.22579        4.74214     
  3299.14        8.24064        4.74670     
  3303.24        8.25402        4.75092     
  3307.47        8.26795        4.75522     
  3311.53        8.28115        4.75939     
  3315.57        8.29428        4.76353     
  3319.70        8.30780        4.76776     
  3323.70        8.32077        4.77185     
  3327.74        8.33386        4.77595     
  3331.70        8.34668        4.77999     
  3335.65        8.35943        4.78400     
  3339.64        8.37237        4.78807     
  3343.55        8.38497        4.79204     
  3347.49        8.39763        4.79599     
  3351.37        8.41010        4.79991     
  3355.24        8.42249        4.80380     
  3359.09        8.43481        4.80768     
  3362.93        8.44708        4.81153     
  3366.76        8.45934        4.81537     
  3370.56        8.47148        4.81917     
  3374.35        8.48356        4.82296     
  3378.14        8.49563        4.82674     
  3381.89        8.50759        4.83048     
  3385.64        8.51948        4.83420     
  3389.37        8.53132        4.83789     
  3393.08        8.54310        4.84157     
  3396.78        8.55485        4.84524     
  3400.47        8.56652        4.84888     
  3404.14        8.57810        4.85247     
  3407.80        8.58966        4.85607     
  3411.44        8.60116        4.85965     
  3415.09        8.61267        4.86325     
  3418.70        8.62406        4.86679     
  3422.30        8.63540        4.87031     
  3425.90        8.64669        4.87380     
  3429.47        8.65796        4.87734     
  3433.04        8.66913        4.88078     
  3443.51        8.70769        4.91103     
  3447.04        8.71860        4.91454     
  3450.56        8.72947        4.91804     
  3454.15        8.74054        4.92170     
  3457.71        8.75152        4.92531     
  3461.19        8.76226        4.92875     
  3464.67        8.77296        4.93218     
  3468.18        8.78379        4.93572     
  3471.63        8.79440        4.93911     
  3475.12        8.80516        4.94264     
  3478.55        8.81568        4.94600     
  3481.97        8.82617        4.94934     
  3485.42        8.83675        4.95277     
  3488.81        8.84715        4.95608     
  3492.23        8.85765        4.95947     
  3495.61        8.86797        4.96275     
  3498.97        8.87825        4.96601     
  3502.36        8.88867        4.96940     
  3505.71        8.89888        4.97264     
  3509.07        8.90915        4.97593     
  3512.39        8.91928        4.97913     
  3515.72        8.92948        4.98239     
  3519.71        8.94266        4.98755     
  3529.37        8.98141        5.00912     
  3542.04        9.03198        5.03868     
  3545.27        9.04183        5.04175     
  3548.50        9.05164        5.04482     
  3565.93        9.12034        5.08671     
  3572.13        9.14211        5.09777     
  3650.62        9.45353        5.30700     
  3727.70        9.78741        5.52778     
  3730.51        9.79637        5.53047     
  3733.35        9.80548        5.53329     
  3736.14        9.81434        5.53591     
  3738.93        9.82321        5.53857     
  3741.73        9.83216        5.54129     
  3746.05        9.84827        5.54845     
  3748.82        9.85705        5.55106     
  3762.51        9.91322        5.58362     
  3765.24        9.92185        5.58615     
  3777.16        9.96681        5.61216     
  3816.20        10.1078        5.70101     
  3818.83        10.1156        5.70332     
  3821.46        10.1235        5.70561     
  3871.74        10.2992        5.82016     
  3877.24        10.3169        5.82919     
  3879.87        10.3246        5.83155     
  3882.48        10.3324        5.83394     
  3885.08        10.3401        5.83623     
  3887.73        10.3480        5.83872     
  3890.35        10.3558        5.84111     
  3892.91        10.3633        5.84333     
  3895.55        10.3712        5.84582     
  3898.13        10.3787        5.84806     
  3224.38        7.23070        3.52547     
  3249.45        8.07210        4.67836     
  3254.22        8.08736        4.68392     
  3258.96        8.10249        4.68945     
  3270.89        8.14484        4.71266     
  3275.98        8.16044        4.71899     
  3280.21        8.17441        4.72336     
  3284.63        8.18907        4.72792     
  3289.00        8.20386        4.73250     
  3293.15        8.21746        4.73679     
  3297.55        8.23222        4.74131     
  3301.66        8.24564        4.74554     
  3305.96        8.26000        4.74997     
  3310.03        8.27324        4.75415     
  3314.08        8.28641        4.75831     
  3318.23        8.30000        4.76253     
  3322.24        8.31301        4.76664     
  3326.34        8.32650        4.77087     
  3330.32        8.33935        4.77492     
  3334.28        8.35213        4.77895     
  3338.29        8.36512        4.78302     
  3342.21        8.37775        4.78699     
  3346.12        8.39024        4.79092     
  3350.01        8.40274        4.79485     
  3353.88        8.41517        4.79876     
  3357.77        8.42765        4.80265     
  3361.61        8.43994        4.80652     
  3365.44        8.45218        4.81036     
  3369.25        8.46435        4.81418     
  3373.05        8.47646        4.81797     
  3376.84        8.48856        4.82176     
  3380.61        8.50054        4.82551     
  3384.36        8.51245        4.82923     
  3388.09        8.52432        4.83294     
  3391.81        8.53613        4.83663     
  3395.53        8.54795        4.84033     
  3399.23        8.55964        4.84398     
  3402.91        8.57125        4.84759     
  3406.57        8.58283        4.85120     
  3410.22        8.59436        4.85479     
  3413.86        8.60585        4.85837     
  3417.48        8.61727        4.86192     
  3421.09        8.62863        4.86545     
  3424.70        8.63997        4.86896     
  3428.29        8.65123        4.87245     
  3431.86        8.66245        4.87592     
  3435.85        8.67534        4.88107     
  3445.82        8.71211        4.90969     
  3449.35        8.72300        4.91320     
  3452.86        8.73387        4.91671     
  3456.43        8.74488        4.92033     
  3459.92        8.75564        4.92378     
  3463.40        8.76635        4.92722     
  3466.93        8.77721        4.93077     
  3470.38        8.78784        4.93417     
  3473.89        8.79864        4.93772     
  3477.32        8.80918        4.94109     
  3480.74        8.81969        4.94444     
  3484.20        8.83031        4.94788     
  3487.60        8.84073        4.95120     
  3491.03        8.85125        4.95461     
  3494.41        8.86159        4.95790     
  3497.77        8.87190        4.96117     
  3501.17        8.88230        4.96452     
  3504.52        8.89252        4.96776     
  3507.89        8.90286        4.97111     
  3511.22        8.91301        4.97432     
  3514.56        8.92323        4.97760     
  3519.05        8.93869        4.98423     
  3523.11        8.95215        4.98959     
  3535.47        9.00211        5.01856     
  3538.72        9.01201        5.02167     
  3541.96        9.02187        5.02475     
  3557.91        9.08530        5.06301     
  3567.32        9.12076        5.08301     
  3670.73        9.53883        5.36359     
  3726.45        9.78115        5.52301     
  3729.26        9.79013        5.52570     
  3732.10        9.79922        5.52849     
  3734.93        9.80828        5.53127     
  3737.72        9.81718        5.53394     
  3740.51        9.82604        5.53659     
  3743.30        9.83494        5.53929     
  3747.62        9.85107        5.54646     
  3761.34        9.90731        5.57910     
  3764.07        9.91595        5.58164     
  3766.79        9.92456        5.58418     
  3806.47        10.0691        5.67506     
  3817.71        10.1098        5.69889     
  3820.34        10.1177        5.70119     
  3859.17        10.2541        5.78938     
  3876.09        10.3108        5.82476     
  3878.74        10.3187        5.82722     
  3881.44        10.3268        5.82986     
  3884.06        10.3346        5.83226     
  3886.64        10.3422        5.83447     
  3889.21        10.3497        5.83666     
  3891.81        10.3574        5.83900     
  3894.46        10.3653        5.84151     
  3897.08        10.3731        5.84396     
  3222.92        7.22498        3.52250     
  3247.97        8.06389        4.67301     
  3252.63        8.07893        4.67832     
  3257.56        8.09447        4.68425     
  3269.48        8.13691        4.70749     
  3274.48        8.15223        4.71360     
  3278.71        8.16618        4.71799     
  3283.16        8.18103        4.72254     
  3287.54        8.19587        4.72715     
  3291.70        8.20952        4.73145     
  3296.11        8.22433        4.73598     
  3300.23        8.23779        4.74023     
  3304.54        8.25219        4.74468     
  3308.62        8.26548        4.74888     
  3312.68        8.27869        4.75305     
  3316.84        8.29232        4.75729     
  3320.86        8.30537        4.76140     
  3324.96        8.31890        4.76566     
  3328.95        8.33179        4.76972     
  3332.92        8.34461        4.77376     
  3336.94        8.35763        4.77784     
  3340.87        8.37030        4.78183     
  3344.78        8.38283        4.78577     
  3348.68        8.39536        4.78971     
  3352.56        8.40782        4.79363     
  3356.46        8.42034        4.79754     
  3360.31        8.43267        4.80142     
  3364.15        8.44494        4.80527     
  3367.96        8.45714        4.80910     
  3371.76        8.46928        4.81291     
  3375.57        8.48141        4.81671     
  3379.34        8.49343        4.82047     
  3383.10        8.50537        4.82420     
  3386.84        8.51726        4.82792     
  3390.56        8.52910        4.83162     
  3394.29        8.54095        4.83533     
  3397.99        8.55267        4.83899     
  3401.68        8.56431        4.84261     
  3405.35        8.57592        4.84623     
  3409.00        8.58748        4.84983     
  3412.65        8.59899        4.85343     
  3416.28        8.61044        4.85699     
  3419.89        8.62183        4.86053     
  3423.50        8.63319        4.86405     
  3427.09        8.64448        4.86755     
  3430.67        8.65575        4.87106     
  3434.23        8.66695        4.87455     
  3444.56        8.70550        4.90478     
  3448.13        8.71650        4.90835     
  3451.64        8.72740        4.91187     
  3455.22        8.73843        4.91550     
  3458.72        8.74921        4.91896     
  3462.20        8.75995        4.92240     
  3465.73        8.77083        4.92596     
  3469.19        8.78148        4.92937     
  3472.70        8.79230        4.93293     
  3476.14        8.80287        4.93631     
  3479.57        8.81339        4.93967     
  3483.03        8.82403        4.94312     
  3486.43        8.83447        4.94645     
  3489.87        8.84502        4.94987     
