|6.6.6
peridotite_stx11_1.tab                                                                              
           2
P(bar)  
   10.000000000000000     
   1515.0505050505051     
         100
T(K)    
   800.00000000000000     
   14.141414141414142     
         100
           5
P(bar)         T(K)           rho,kg/m3      vp,km/s        vs,km/s       
  6070.20        814.141        3244.94        7.84415        4.49135     
  7585.25        814.141        3355.56        8.11800        4.68583     
  9100.30        814.141        3371.20        8.16725        4.69978     
  10615.4        814.141        3375.71        8.18273        4.70421     
  12130.4        814.141        3380.03        8.19737        4.70840     
  13645.5        814.141        3384.37        8.21199        4.71248     
  15160.5        814.141        3388.68        8.22670        4.71687     
  16675.6        814.141        3392.84        8.24072        4.72105     
  18190.6        814.141        3397.10        8.25508        4.72519     
  19705.7        814.141        3401.22        8.26880        4.72920     
  21220.7        814.141        3405.34        8.28258        4.73325     
  22735.8        814.141        3409.51        8.29664        4.73739     
  24250.8        814.141        3413.58        8.31016        4.74137     
  25765.9        814.141        3417.61        8.32351        4.74528     
  27280.9        814.141        3421.63        8.33683        4.74922     
  28796.0        814.141        3425.62        8.35018        4.75334     
  30311.0        814.141        3429.59        8.36313        4.75696     
  31826.1        814.141        3433.55        8.37631        4.76100     
  33341.1        814.141        3437.49        8.38930        4.76484     
  34856.2        814.141        3441.40        8.40244        4.76905     
  36371.2        814.141        3445.30        8.41525        4.77283     
  37886.3        814.141        3449.16        8.42765        4.77616     
  39401.3        814.141        3453.03        8.44033        4.77991     
  40916.4        814.141        3456.87        8.45295        4.78369     
  42431.4        814.141        3460.70        8.46548        4.78742     
  43946.5        814.141        3464.52        8.47805        4.79130     
  45461.5        814.141        3468.31        8.49050        4.79506     
  46976.6        814.141        3472.08        8.50284        4.79877     
  48491.6        814.141        3475.84        8.51505        4.80237     
  50006.7        814.141        3479.57        8.52726        4.80603     
  51521.7        814.141        3483.30        8.53945        4.80970     
  53036.8        814.141        3487.03        8.55136        4.81306     
  54551.8        814.141        3490.74        8.56383        4.81721     
  56066.9        814.141        3494.43        8.57560        4.82052     
  57581.9        814.141        3498.12        8.58764        4.82421     
  59097.0        814.141        3501.74        8.59902        4.82717     
  60612.0        814.141        3505.41        8.61102        4.83093     
  62127.1        814.141        3509.04        8.62278        4.83445     
  63642.1        814.141        3512.67        8.63455        4.83800     
  65157.2        814.141        3516.27        8.64635        4.84170     
  66672.2        814.141        3519.86        8.65756        4.84467     
  68187.3        814.141        3523.53        8.67047        4.84972     
  69702.3        814.141        3537.09        8.71931        4.88974     
  71217.4        814.141        3540.65        8.73078        4.89355     
  72732.4        814.141        3544.23        8.74250        4.89771     
  74247.5        814.141        3547.77        8.75392        4.90155     
  75762.5        814.141        3551.30        8.76537        4.90545     
  77277.6        814.141        3554.84        8.77699        4.90957     
  78792.6        814.141        3558.34        8.78820        4.91326     
  80307.7        814.141        3561.83        8.79941        4.91701     
  81822.7        814.141        3565.34        8.81096        4.92113     
  83337.8        814.141        3568.80        8.82198        4.92468     
  84852.8        814.141        3572.28        8.83329        4.92860     
  86367.9        814.141        3575.72        8.84426        4.93217     
  87882.9        814.141        3579.17        8.85540        4.93594     
  89398.0        814.141        3582.60        8.86640        4.93960     
  90913.0        814.141        3586.05        8.87749        4.94333     
  92428.1        814.141        3589.44        8.88847        4.94707     
  93943.1        814.141        3592.86        8.89940        4.95070     
  95458.2        814.141        3596.26        8.91033        4.95437     
  96973.2        814.141        3602.00        8.93137        4.96418     
  98488.3        814.141        3607.98        8.95328        4.97457     
  100003.        814.141        3613.24        8.97286        4.98332     
  101518.        814.141        3620.03        8.99779        4.99580     
  103033.        814.141        3626.09        9.02039        5.00656     
  104548.        814.141        3641.69        9.07757        5.04051     
  106064.        814.141        3647.09        9.09827        5.05014     
  107579.        814.141        3652.68        9.11897        5.05983     
  109094.        814.141        3661.74        9.15233        5.07791     
  110609.        814.141        3676.34        9.20893        5.11112     
  112124.        814.141        3681.95        9.22785        5.11995     
  113639.        814.141        3762.24        9.54251        5.32926     
  115154.        814.141        3767.62        9.56301        5.33884     
  116669.        814.141        3772.73        9.58287        5.34803     
  118184.        814.141        3777.87        9.60285        5.35731     
  119699.        814.141        3788.74        9.63949        5.37789     
  121214.        814.141        3797.52        9.66989        5.39418     
  122729.        814.141        3796.18        9.67149        5.39099     
  124244.        814.141        3807.88        9.70993        5.41286     
  125759.        814.141        3813.73        9.73245        5.42383     
  127274.        814.141        3825.33        9.77399        5.44733     
  128789.        814.141        3832.20        9.79638        5.45862     
  130304.        814.141        3888.35        9.99190        5.58189     
  131819.        814.141        3899.93        10.0363        5.61098     
  133334.        814.141        3907.72        10.0707        5.63508     
  134849.        814.141        3915.00        10.1030        5.65749     
  136365.        814.141        3921.43        10.1296        5.67555     
  137880.        814.141        3930.54        10.1716        5.70614     
  139395.        814.141        3939.13        10.2110        5.73473     
  140910.        814.141        3944.66        10.2332        5.74937     
  142425.        814.141        3950.78        10.2581        5.76644     
  143940.        814.141        3953.27        10.2650        5.76823     
  145455.        814.141        3955.82        10.2722        5.77033     
  146970.        814.141        3958.36        10.2793        5.77239     
  148485.        814.141        3960.90        10.2865        5.77448     
  150000.        814.141        3963.46        10.2938        5.77667     
  10.0000        828.283        3176.06        7.08217        3.53373     
  1525.05        828.283        3220.44        7.76249        4.45321     
  3040.10        828.283        3226.42        7.78140        4.46061     
  4555.15        828.283        3232.75        7.80149        4.46876     
  6070.20        828.283        3243.81        7.83674        4.48683     
  7585.25        828.283        3353.21        8.10114        4.67782     
  9100.30        828.283        3369.48        8.15843        4.69449     
  10615.4        828.283        3373.89        8.17351        4.69880     
  12130.4        828.283        3378.24        8.18830        4.70307     
  13645.5        828.283        3382.79        8.20391        4.70743     
  15160.5        828.283        3387.14        8.21869        4.71169     
  16675.6        828.283        3391.32        8.23274        4.71579     
  18190.6        828.283        3395.51        8.24689        4.72000     
  19705.7        828.283        3399.72        8.26106        4.72411     
  21220.7        828.283        3403.80        8.27467        4.72814     
  22735.8        828.283        3408.06        8.28907        4.73234     
  24250.8        828.283        3412.13        8.30265        4.73633     
