|6.6.6
peridotite_hpha02_1.tab                                                                             
           2
P(bar)  
   10.000000000000000     
   1515.0505050505051     
         100
T(K)    
   800.00000000000000     
   14.141414141414142     
         100
           5
P(bar)         T(K)           rho,kg/m3      vp,km/s        vs,km/s       
  6070.20        814.141        3315.21        8.01596        4.65860     
  7585.25        814.141        3319.65        8.03130        4.66401     
  9100.30        814.141        3324.06        8.04665        4.66941     
  10615.4        814.141        3328.45        8.06186        4.67480     
  12130.4        814.141        3343.73        8.11441        4.69614     
  13645.5        814.141        3368.62        8.19922        4.73055     
  15160.5        814.141        3374.04        8.21711        4.73760     
  16675.6        814.141        3379.28        8.23429        4.74431     
  18190.6        814.141        3384.14        8.25026        4.75054     
  19705.7        814.141        3387.80        8.26223        4.75522     
  21220.7        814.141        3392.87        8.27881        4.76172     
  22735.8        814.141        3398.53        8.29740        4.76911     
  24250.8        814.141        3403.02        8.31203        4.77483     
  25765.9        814.141        3407.39        8.32622        4.78037     
  27280.9        814.141        3411.65        8.34002        4.78578     
  28796.0        814.141        3415.91        8.35381        4.79119     
  30311.0        814.141        3420.31        8.36808        4.79658     
  31826.1        814.141        3424.51        8.38169        4.80201     
  33341.1        814.141        3428.68        8.39515        4.80733     
  34856.2        814.141        3432.73        8.40825        4.81257     
  36371.2        814.141        3436.85        8.42157        4.81783     
  37886.3        814.141        3440.79        8.43416        4.82284     
  39401.3        814.141        3444.89        8.44743        4.82812     
  40916.4        814.141        3448.89        8.46030        4.83325     
  42431.4        814.141        3452.89        8.47324        4.83835     
  43946.5        814.141        3456.82        8.48587        4.84335     
  45461.5        814.141        3460.75        8.49853        4.84838     
  46976.6        814.141        3464.65        8.51110        4.85338     
  48491.6        814.141        3468.54        8.52363        4.85839     
  50006.7        814.141        3472.41        8.53608        4.86338     
  51521.7        814.141        3476.28        8.54856        4.86836     
  53036.8        814.141        3480.11        8.56087        4.87339     
  54551.8        814.141        3483.94        8.57326        4.87829     
  56066.9        814.141        3487.75        8.58557        4.88322     
  57581.9        814.141        3491.54        8.59777        4.88813     
  59097.0        814.141        3495.34        8.61002        4.89307     
  60612.0        814.141        3499.12        8.62221        4.89799     
  62127.1        814.141        3502.87        8.63433        4.90286     
  63642.1        814.141        3506.61        8.64642        4.90774     
  65157.2        814.141        3510.34        8.65848        4.91263     
  66672.2        814.141        3514.06        8.67052        4.91752     
  68187.3        814.141        3517.77        8.68254        4.92241     
  69702.3        814.141        3521.47        8.69453        4.92729     
  71217.4        814.141        3525.16        8.70648        4.93215     
  72732.4        814.141        3528.84        8.71840        4.93704     
  74247.5        814.141        3532.49        8.73029        4.94186     
  75762.5        814.141        3536.14        8.74214        4.94667     
  77277.6        814.141        3539.77        8.75395        4.95149     
  78792.6        814.141        3543.41        8.76577        4.95635     
  80307.7        814.141        3547.02        8.77752        4.96116     
  81822.7        814.141        3550.63        8.78925        4.96596     
  83337.8        814.141        3554.22        8.80095        4.97074     
  84852.8        814.141        3557.80        8.81263        4.97553     
  86367.9        814.141        3561.37        8.82427        4.98031     
  87882.9        814.141        3564.94        8.83591        4.98513     
  89398.0        814.141        3568.50        8.84751        4.98992     
  90913.0        814.141        3572.03        8.85906        4.99465     
  92428.1        814.141        3575.57        8.87062        4.99943     
  93943.1        814.141        3579.09        8.88214        5.00420     
  95458.2        814.141        3582.61        8.89364        5.00896     
  96973.2        814.141        3586.10        8.90508        5.01367     
  98488.3        814.141        3589.60        8.91653        5.01841     
  100003.        814.141        3593.07        8.92790        5.02308     
  101518.        814.141        3596.55        8.93932        5.02785     
  103033.        814.141        3600.01        8.95069        5.03257     
  104548.        814.141        3603.47        8.96205        5.03731     
  106064.        814.141        3606.91        8.97336        5.04199     
  107579.        814.141        3610.34        8.98462        5.04664     
  109094.        814.141        3613.77        8.99593        5.05138     
  110609.        814.141        3617.18        9.00716        5.05605     
  112124.        814.141        3620.58        9.01837        5.06069     
  113639.        814.141        3623.98        9.02956        5.06537     
  115154.        814.141        3627.37        9.04075        5.07005     
  116669.        814.141        3630.75        9.05190        5.07470     
  118184.        814.141        3634.12        9.06302        5.07934     
  119699.        814.141        3637.48        9.07411        5.08397     
  121214.        814.141        3640.82        9.08517        5.08857     
  122729.        814.141        3644.16        9.09618        5.09315     
  124244.        814.141        3647.49        9.10722        5.09778     
  125759.        814.141        3650.82        9.11829        5.10243     
  127274.        814.141        3654.14        9.12929        5.10705     
  128789.        814.141        3657.44        9.14026        5.11164     
  130304.        814.141        3660.74        9.15121        5.11623     
  131819.        814.141        3664.03        9.16211        5.12079     
  133334.        814.141        3667.31        9.17301        5.12536     
  134849.        814.141        3670.58        9.18386        5.12992     
  136365.        814.141        3673.85        9.19481        5.13455     
  137880.        814.141        3706.97        9.28345        5.21257     
  139395.        814.141        3710.88        9.29634        5.21922     
  140910.        814.141        3714.88        9.30956        5.22609     
  142425.        814.141        3719.02        9.32347        5.23335     
  143940.        814.141        3722.99        9.33660        5.24015     
  145455.        814.141        3726.69        9.34854        5.24622     
  146970.        814.141        3730.87        9.36260        5.25363     
  148485.        814.141        3734.62        9.37476        5.25982     
  150000.        814.141        3738.60        9.38799        5.26668     
  10.0000        828.283        3210.69        7.73929        4.43771     
  1525.05        828.283        3220.18        7.76960        4.45817     
  3040.10        828.283        3227.79        7.79530        4.47370     
  4555.15        828.283        3308.58        7.99154        4.64701     
  6070.20        828.283        3313.50        8.00876        4.65363     
  7585.25        828.283        3317.94        8.02413        4.65904     
