|6.6.6
dunite_hpha02_2.tab                                                                                 
           2
P(bar)  
   10.000000000000000     
   1515.0505050505051     
         100
T(K)    
   800.00000000000000     
   14.141414141414142     
         100
          25
P(bar)         T(K)           Opx(HP)        Pl(h)          O(HP)          di             ru             sph            abL            diL            enL            anL            foGL           Sp(JR)         usp            faL            faGL           jd             Gt(HP)         ilm            ne             geik           ilm_nol        stv            ab            
  10.0000        800.000        9.27237        1.44449        89.1255       0.149826       0.779207E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.05        800.000        9.29177        1.40750        89.1197       0.173281       0.779691E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3040.10        800.000        9.31119        1.37056        89.1137       0.196738       0.780250E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4555.15        800.000        9.33645        1.32439        89.1050       0.226372       0.780779E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6070.20        800.000        9.35983        1.28115        89.0971       0.254098       0.781301E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7585.25        800.000        9.39123        1.22718        89.0698       0.289012       0.781835E-002            NaN            NaN            NaN            NaN            NaN            NaN  0.150127E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9100.30        800.000        9.48979                 NaN   88.9682       0.391981       0.782563E-002            NaN            NaN            NaN            NaN            NaN            NaN  0.768375E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   1.06540     
  10615.4        800.000        10.1807                 NaN   88.6989       0.392835       0.784718E-002            NaN            NaN            NaN            NaN            NaN            NaN  0.726391E-001            NaN            NaN            NaN  0.647081                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  12130.4        800.000        10.1788                 NaN   88.7007       0.392831       0.785155E-002            NaN            NaN            NaN            NaN            NaN            NaN  0.726740E-001            NaN            NaN            NaN  0.647112                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  13645.5        800.000        10.1762                 NaN   88.7020       0.392828       0.785590E-002            NaN            NaN            NaN            NaN            NaN            NaN  0.739925E-001            NaN            NaN            NaN  0.647145                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  15160.5        800.000        10.1743                 NaN   88.7024       0.392824       0.786021E-002            NaN            NaN            NaN            NaN            NaN            NaN  0.754311E-001            NaN            NaN            NaN  0.647175                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  16675.6        800.000        10.1721                 NaN   88.7026       0.392820       0.786449E-002            NaN            NaN            NaN            NaN            NaN            NaN  0.774560E-001            NaN            NaN            NaN  0.647207                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  18190.6        800.000        9.97924                 NaN   88.8031       0.321787       0.787004E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.647344       0.240642                 NaN            NaN            NaN            NaN            NaN            NaN
  19705.7        800.000        9.94903                 NaN   88.8070       0.311639       0.787445E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.647390       0.277018                 NaN            NaN            NaN            NaN            NaN            NaN
  21220.7        800.000        9.92750                 NaN   88.8106       0.305406       0.787878E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.647431       0.301230                 NaN            NaN            NaN            NaN            NaN            NaN
  22735.8        800.000        9.90092                 NaN   88.8143       0.296915       0.788310E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.647474       0.332544                 NaN            NaN            NaN            NaN            NaN            NaN
  24250.8        800.000        9.86340                 NaN   88.8188       0.283308       0.788748E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.647524       0.379117                 NaN            NaN            NaN            NaN            NaN            NaN
  25765.9        800.000        9.86858                 NaN   88.8200       0.285596       0.789152E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.647548       0.370389                 NaN            NaN            NaN            NaN            NaN            NaN
  27280.9        800.000        9.83825                 NaN   88.8239       0.276352       0.789577E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.647592       0.406032                 NaN            NaN            NaN            NaN            NaN            NaN
  28796.0        800.000        9.82495                 NaN   88.8265       0.272494       0.789988E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.647626       0.420579                 NaN            NaN            NaN            NaN            NaN            NaN
  30311.0        800.000        9.81167                 NaN   88.8290       0.268636       0.790396E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.647660       0.435133                 NaN            NaN            NaN            NaN            NaN            NaN
  31826.1        800.000        9.79118                 NaN   88.8321       0.261166       0.790806E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.647698       0.459951                 NaN            NaN            NaN            NaN            NaN            NaN
  33341.1        800.000        9.78186                 NaN   88.8343       0.259269       0.791205E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.647728       0.468955                 NaN            NaN            NaN            NaN            NaN            NaN
  34856.2        800.000        9.77377                 NaN   88.8363       0.257673       0.791600E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.647757       0.476559                 NaN            NaN            NaN            NaN            NaN            NaN
  36371.2        800.000        9.76732                 NaN   88.8383       0.255974       0.791992E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.647786       0.482729                 NaN            NaN            NaN            NaN            NaN            NaN
  37886.3        800.000        9.76498                 NaN   88.8399       0.254923       0.792379E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.647812       0.484511                 NaN            NaN            NaN            NaN            NaN            NaN
  39401.3        800.000        9.75995                 NaN   88.8418       0.254581       0.792763E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.647839       0.487949                 NaN            NaN            NaN            NaN            NaN            NaN
  40916.4        800.000        9.75553                 NaN   88.8435       0.253602       0.793145E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.647865       0.491564                 NaN            NaN            NaN            NaN            NaN            NaN
  42431.4        800.000        9.74471                 NaN   88.8455       0.250223       0.793529E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.647896       0.503713                 NaN            NaN            NaN            NaN            NaN            NaN
  43946.5        800.000        9.74292                 NaN   88.8471       0.250220       0.793904E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.647920       0.503859                 NaN            NaN            NaN            NaN            NaN            NaN
  45461.5        800.000        9.74117                 NaN   88.8487       0.250218       0.794277E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.647944       0.504005                 NaN            NaN            NaN            NaN            NaN            NaN
  46976.6        800.000        9.73772                 NaN   88.8503       0.251207       0.794647E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.647969       0.504894                 NaN            NaN            NaN            NaN            NaN            NaN
  48491.6        800.000        9.73283                 NaN   88.8518       0.253031       0.795015E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.647993       0.506411                 NaN            NaN            NaN            NaN            NaN            NaN
  50006.7        800.000        9.72798                 NaN   88.8533       0.254848       0.795381E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648018       0.507923                 NaN            NaN            NaN            NaN            NaN            NaN
  51521.7        800.000        9.73289                 NaN   88.8547       0.249616       0.795743E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648040       0.506763                 NaN            NaN            NaN            NaN            NaN            NaN
  53036.8        800.000        9.73026                 NaN   88.8562       0.249257       0.796104E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648064       0.508224                 NaN            NaN            NaN            NaN            NaN            NaN
  54551.8        800.000        9.72727                 NaN   88.8576       0.250346       0.796461E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648087       0.508685                 NaN            NaN            NaN            NaN            NaN            NaN
  56066.9        800.000        9.72682                 NaN   88.8590       0.249141       0.796816E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648110       0.508915                 NaN            NaN            NaN            NaN            NaN            NaN
  57581.9        800.000        9.73776                 NaN   88.8423       0.249046                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648136       0.509392       0.133811E-001            NaN            NaN            NaN            NaN            NaN
  59097.0        800.000        9.73493                 NaN   88.8437       0.248560                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648159       0.511283       0.133850E-001            NaN            NaN            NaN            NaN            NaN
  60612.0        800.000        9.73245                 NaN   88.8450       0.248187                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648181       0.512766       0.133888E-001            NaN            NaN            NaN            NaN            NaN
  62127.1        800.000        9.73103                 NaN   88.8464       0.248220                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648203       0.512772       0.133926E-001            NaN            NaN            NaN            NaN            NaN
  63642.1        800.000        9.72928                 NaN   88.8475       0.248117                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648226       0.513507       0.133963E-001            NaN            NaN            NaN            NaN            NaN
  65157.2        800.000        9.72487                 NaN   88.8489       0.247010                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648249       0.517611       0.134001E-001            NaN            NaN            NaN            NaN            NaN
  66672.2        800.000        9.72138                 NaN   88.8500       0.249254                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648270       0.517670       0.134038E-001            NaN            NaN            NaN            NaN            NaN
  68187.3        800.000        9.72123                 NaN   88.8516       0.247839                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648290       0.517617       0.134074E-001            NaN            NaN            NaN            NaN            NaN
  69702.3        800.000        9.72058                 NaN   88.8525       0.247004                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648313       0.518180       0.134111E-001            NaN            NaN            NaN            NaN            NaN
  71217.4        800.000        9.71915                 NaN   88.8537       0.247002                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648334       0.518434       0.134147E-001            NaN            NaN            NaN            NaN            NaN
  72732.4        800.000        9.71781                 NaN   88.8549       0.246999                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648354       0.518564                 NaN            NaN            NaN  0.133947E-001            NaN            NaN
  74247.5        800.000        9.71643                 NaN   88.8561       0.246997                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648375       0.518735                 NaN            NaN            NaN  0.133983E-001            NaN            NaN
  75762.5        800.000        9.71505                 NaN   88.8573       0.246995                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648395       0.518892                 NaN            NaN            NaN  0.134019E-001            NaN            NaN
  77277.6        800.000        9.71367                 NaN   88.8585       0.246993                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648415       0.519017                 NaN            NaN            NaN  0.134054E-001            NaN            NaN
  78792.6        800.000        9.71231                 NaN   88.8597       0.246990                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648435       0.519164                 NaN            NaN            NaN  0.134089E-001            NaN            NaN
  80307.7        800.000        9.71095                 NaN   88.8609       0.246988                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648454       0.519307                 NaN            NaN            NaN  0.134125E-001            NaN            NaN
  81822.7        800.000        9.70835                 NaN   88.8619       0.248397                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648475       0.519445                 NaN            NaN            NaN  0.134160E-001            NaN            NaN
  83337.8        800.000        9.70867                 NaN   88.8631       0.246622                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648494       0.519690                 NaN            NaN            NaN  0.134194E-001            NaN            NaN
  84852.8        800.000        9.70699                 NaN   88.8644       0.246971                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648513       0.519743                 NaN            NaN            NaN  0.134228E-001            NaN            NaN
  86367.9        800.000        9.70595                 NaN   88.8653       0.246805                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648532       0.519950                 NaN            NaN            NaN  0.134263E-001            NaN            NaN
  87882.9        800.000        9.70541                 NaN   88.8664       0.245976                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648551       0.520186                 NaN            NaN            NaN  0.134297E-001            NaN            NaN
  89398.0        800.000        9.70439                 NaN   88.8676       0.245716                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648570       0.520335                 NaN            NaN            NaN  0.134330E-001            NaN            NaN
  90913.0        800.000        9.70229                 NaN   88.8686       0.246678                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648588       0.520372                 NaN            NaN            NaN  0.134364E-001            NaN            NaN
  92428.1        800.000        9.70114                 NaN   88.8697       0.246610                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648607       0.520525                 NaN            NaN            NaN  0.134397E-001            NaN            NaN
  93943.1        800.000        9.70072                 NaN   88.8708       0.245687                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648625       0.520698                 NaN            NaN            NaN  0.134430E-001            NaN            NaN
  95458.2        800.000        9.70048                 NaN   88.8720       0.244569                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648643       0.520880                 NaN            NaN            NaN  0.134463E-001            NaN            NaN
  96973.2        800.000        9.69941                 NaN   88.8730       0.244436                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648661       0.521040                 NaN            NaN            NaN  0.134495E-001            NaN            NaN
  98488.3        800.000        9.69825                 NaN   88.8740       0.244434                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648679       0.521221                 NaN            NaN            NaN  0.134527E-001            NaN            NaN
  100003.        800.000        9.69709                 NaN   88.8749       0.244433                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648697       0.521400                 NaN            NaN            NaN  0.134560E-001            NaN            NaN
  101518.        800.000        9.69688                 NaN   88.8759       0.243432                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648715       0.521574                 NaN            NaN            NaN  0.134592E-001            NaN            NaN
  103033.        800.000        9.69667                 NaN   88.8770       0.242434                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648732       0.521746                 NaN            NaN            NaN  0.134623E-001            NaN            NaN
  104548.        800.000        9.69623                 NaN   88.8780       0.241667                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648749       0.521919                 NaN            NaN            NaN  0.134655E-001            NaN            NaN
  106064.        800.000        9.69493                 NaN   88.8790       0.241767                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648767       0.522096                 NaN            NaN            NaN  0.134686E-001            NaN            NaN
  107579.        800.000        9.69527                 NaN   88.8800       0.240257                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648783       0.522263                 NaN            NaN            NaN  0.134717E-001            NaN            NaN
  109094.        800.000        9.69476                 NaN   88.8809       0.239591                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648800       0.522434                 NaN            NaN            NaN  0.134748E-001            NaN            NaN
  110609.        800.000        9.69425                 NaN   88.8819       0.238925                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648817       0.522605                 NaN            NaN            NaN  0.134778E-001            NaN            NaN
  112124.        800.000        9.69304                 NaN   88.8829       0.238974                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648834       0.522778                 NaN            NaN            NaN  0.134809E-001            NaN            NaN
  113639.        800.000        9.69289                 NaN   88.8839       0.237976                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648850       0.522945                 NaN            NaN            NaN  0.134839E-001            NaN            NaN
  115154.        800.000        9.69275                 NaN   88.8848       0.236978                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648866       0.523112                 NaN            NaN            NaN  0.134869E-001            NaN            NaN
  116669.        800.000        9.69183                 NaN   88.8856       0.236825                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648883       0.523394                 NaN            NaN            NaN  0.134899E-001            NaN            NaN
  118184.        800.000        9.69078                 NaN   88.8863       0.236823                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648899       0.523698                 NaN            NaN            NaN  0.134929E-001            NaN            NaN
  119699.        800.000        9.68986                 NaN   88.8871       0.236689                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648916       0.523958                 NaN            NaN            NaN  0.134958E-001            NaN            NaN
  121214.        800.000        9.68922                 NaN   88.8880       0.236261                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648932       0.524120                 NaN            NaN            NaN  0.134988E-001            NaN            NaN
  122729.        800.000        9.68859                 NaN   88.8889       0.235832                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648948       0.524281                 NaN            NaN            NaN  0.135017E-001            NaN            NaN
  124244.        800.000        9.68857                 NaN   88.8898       0.234746                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648963       0.524457                 NaN            NaN            NaN  0.135046E-001            NaN            NaN
  125759.        800.000        9.68875                 NaN   88.8907       0.233463                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648978       0.524636                 NaN            NaN            NaN  0.135074E-001            NaN            NaN
  127274.        800.000        9.68875                 NaN   88.8916       0.232379                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648994       0.524810                 NaN            NaN            NaN  0.135103E-001            NaN            NaN
  128789.        800.000        9.68815                 NaN   88.8924       0.231950                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.649009       0.524968                 NaN            NaN            NaN  0.135131E-001            NaN            NaN
  130304.        800.000        9.68755                 NaN   88.8933       0.231521                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.649024       0.525126                 NaN            NaN            NaN  0.135160E-001            NaN            NaN
  131819.        800.000        9.68696                 NaN   88.8941       0.231093                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.649040       0.525283                 NaN            NaN            NaN  0.135188E-001            NaN            NaN
  133334.        800.000        9.68638                 NaN   88.8949       0.230664                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.649055       0.525440                 NaN            NaN            NaN  0.135215E-001            NaN            NaN
  134849.        800.000        9.68624                 NaN   88.8957       0.229822                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.649069       0.525602                 NaN            NaN            NaN  0.135243E-001            NaN            NaN
  136365.        800.000                 NaN            NaN   96.2677       0.227249                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.652496       0.528701                 NaN            NaN            NaN  0.135982E-001   2.31022                 NaN
  137880.        800.000                 NaN            NaN   96.2779       0.211574                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.652503       0.529720                 NaN            NaN            NaN  0.136007E-001   2.31473                 NaN
  139395.        800.000                 NaN            NaN   96.2885       0.195246                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.652510       0.530784                 NaN            NaN            NaN  0.136033E-001   2.31938                 NaN
  140910.        800.000                 NaN            NaN   96.2988       0.179275                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.652517       0.531823                 NaN            NaN            NaN  0.136059E-001   2.32396                 NaN
  142425.        800.000                 NaN            NaN   96.3074       0.165766                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.652523       0.532700                 NaN            NaN            NaN  0.136084E-001   2.32798                 NaN
  143940.        800.000                 NaN            NaN   96.3195       0.147336                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.652531       0.533899                 NaN            NaN            NaN  0.136109E-001   2.33310                 NaN
  145455.        800.000                 NaN            NaN   96.3297       0.131657                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.652537       0.534920                 NaN            NaN            NaN  0.136135E-001   2.33760                 NaN
  146970.        800.000                 NaN            NaN   96.3414       0.113829                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.652544       0.536048                 NaN            NaN            NaN  0.136160E-001   2.34258                 NaN
  148485.        800.000                 NaN            NaN   96.3539       0.949470E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.652552       0.537226                 NaN            NaN            NaN  0.136185E-001   2.34780                 NaN
  150000.        800.000                 NaN            NaN   96.3663       0.760651E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.652559       0.538403                 NaN            NaN            NaN  0.136209E-001   2.35301                 NaN
  10.0000        814.141        9.27170        1.44397        89.1265       0.150005       0.779103E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.05        814.141        9.29109        1.40699        89.1207       0.173458       0.779589E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3040.10        814.141        9.31120        1.36913        89.1143       0.197532       0.780150E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4555.15        814.141        9.33184        1.33034        89.1077       0.222266       0.780669E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6070.20        814.141        9.35464        1.28793        89.1002       0.249449       0.781190E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7585.25        814.141        9.38374        1.23609        89.0849       0.282940       0.781722E-002            NaN            NaN            NaN            NaN            NaN            NaN  0.454570E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9100.30        814.141        9.48822                 NaN   88.9776       0.391971       0.782463E-002            NaN            NaN            NaN            NaN            NaN            NaN  0.689437E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   1.06541     
  10615.4        814.141        10.1791                 NaN   88.7095       0.392826       0.784619E-002            NaN            NaN            NaN            NaN            NaN            NaN  0.637701E-001            NaN            NaN            NaN  0.647007                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  12130.4        814.141        10.1770                 NaN   88.7106       0.392822       0.785057E-002            NaN            NaN            NaN            NaN            NaN            NaN  0.647281E-001            NaN            NaN            NaN  0.647039                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  13645.5        814.141        10.1748                 NaN   88.7123       0.392818       0.785492E-002            NaN            NaN            NaN            NaN            NaN            NaN  0.651715E-001            NaN            NaN            NaN  0.647070                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  15160.5        814.141        10.1725                 NaN   88.7127       0.392815       0.785925E-002            NaN            NaN            NaN            NaN            NaN            NaN  0.670235E-001            NaN            NaN            NaN  0.647102                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  16675.6        814.141        10.1706                 NaN   88.7127       0.392811       0.786354E-002            NaN            NaN            NaN            NaN            NaN            NaN  0.689422E-001            NaN            NaN            NaN  0.647133                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  18190.6        814.141        9.99219                 NaN   88.8031       0.327584       0.786900E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.647262       0.221990                 NaN            NaN            NaN            NaN            NaN            NaN
  19705.7        814.141        9.95083                 NaN   88.8079       0.313694       0.787350E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.647315       0.272346                 NaN            NaN            NaN            NaN            NaN            NaN
  21220.7        814.141        9.92959                 NaN   88.8116       0.307199       0.787783E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.647357       0.296385                 NaN            NaN            NaN            NaN            NaN            NaN
  22735.8        814.141        9.89464                 NaN   88.8158       0.295171       0.788223E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.647405       0.339131                 NaN            NaN            NaN            NaN            NaN            NaN
  24250.8        814.141        9.90946                 NaN   88.8164       0.300673       0.788623E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.647424       0.318187                 NaN            NaN            NaN            NaN            NaN            NaN
  25765.9        814.141        9.85196                 NaN   88.8222       0.281017       0.789072E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.647484       0.389405                 NaN            NaN            NaN            NaN            NaN            NaN
  27280.9        814.141        9.83837                 NaN   88.8248       0.278792       0.789486E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.647518       0.402674                 NaN            NaN            NaN            NaN            NaN            NaN
