|6.6.6
dunite_hp02_1.tab                                                                                   
           2
P(bar)  
   10.000000000000000     
   1515.0505050505051     
         100
T(K)    
   800.00000000000000     
   14.141414141414142     
         100
           5
P(bar)         T(K)           rho,kg/m3      vp,km/s        vs,km/s       
  6070.20        814.141        3258.32        8.12249        4.68652     
  7585.25        814.141        3262.91        8.13586        4.69272     
  9100.30        814.141        3268.38        8.14938        4.69958     
  10615.4        814.141        3279.76        8.18992        4.72486     
  12130.4        814.141        3283.96        8.20226        4.73019     
  13645.5        814.141        3288.15        8.21459        4.73551     
  15160.5        814.141        3292.32        8.22690        4.74084     
  16675.6        814.141        3296.48        8.23917        4.74615     
  18190.6        814.141        3301.12        8.25322        4.75240     
  19705.7        814.141        3305.36        8.26603        4.75801     
  21220.7        814.141        3309.52        8.27849        4.76345     
  22735.8        814.141        3313.71        8.29113        4.76898     
  24250.8        814.141        3317.75        8.30304        4.77415     
  25765.9        814.141        3321.97        8.31595        4.77983     
  27280.9        814.141        3326.04        8.32814        4.78515     
  28796.0        814.141        3330.10        8.34032        4.79048     
  30311.0        814.141        3334.19        8.35271        4.79592     
  31826.1        814.141        3338.21        8.36479        4.80121     
  33341.1        814.141        3342.22        8.37684        4.80648     
  34856.2        814.141        3346.20        8.38877        4.81171     
  36371.2        814.141        3350.17        8.40076        4.81697     
  37886.3        814.141        3354.12        8.41263        4.82217     
  39401.3        814.141        3358.07        8.42456        4.82741     
  40916.4        814.141        3361.99        8.43640        4.83261     
  42431.4        814.141        3365.90        8.44825        4.83782     
  43946.5        814.141        3369.79        8.46000        4.84298     
  45461.5        814.141        3373.67        8.47175        4.84815     
  46976.6        814.141        3377.53        8.48346        4.85331     
  48491.6        814.141        3381.38        8.49512        4.85844     
  50006.7        814.141        3385.22        8.50679        4.86360     
  51521.7        814.141        3389.04        8.51840        4.86872     
  53036.8        814.141        3392.85        8.53003        4.87385     
  54551.8        814.141        3396.65        8.54162        4.87898     
  56066.9        814.141        3400.43        8.55314        4.88407     
  57581.9        814.141        3404.20        8.56466        4.88916     
  59097.0        814.141        3407.98        8.57618        4.89432     
  60612.0        814.141        3411.72        8.58759        4.89937     
  62127.1        814.141        3415.46        8.59908        4.90446     
  63642.1        814.141        3419.18        8.61050        4.90954     
  65157.2        814.141        3422.88        8.62185        4.91457     
  66672.2        814.141        3426.58        8.63326        4.91965     
  68187.3        814.141        3430.27        8.64460        4.92469     
  69702.3        814.141        3433.94        8.65592        4.92973     
  71217.4        814.141        3437.60        8.66721        4.93475     
  72732.4        814.141        3441.25        8.67849        4.93977     
  74247.5        814.141        3444.88        8.68973        4.94478     
  75762.5        814.141        3448.51        8.70095        4.94978     
  77277.6        814.141        3452.12        8.71215        4.95478     
  78792.6        814.141        3455.73        8.72332        4.95975     
  80307.7        814.141        3459.32        8.73448        4.96474     
  81822.7        814.141        3462.90        8.74561        4.96973     
  83337.8        814.141        3466.47        8.75672        4.97470     
  84852.8        814.141        3470.03        8.76782        4.97967     
  86367.9        814.141        3473.57        8.77887        4.98461     
  87882.9        814.141        3477.11        8.78992        4.98956     
  89398.0        814.141        3480.63        8.80092        4.99448     
  90913.0        814.141        3484.15        8.81193        4.99943     
  92428.1        814.141        3487.65        8.82290        5.00435     
  93943.1        814.141        3491.15        8.83386        5.00929     
  95458.2        814.141        3494.63        8.84478        5.01418     
  96973.2        814.141        3498.10        8.85569        5.01909     
  98488.3        814.141        3501.56        8.86657        5.02399     
  100003.        814.141        3505.02        8.87744        5.02888     
  101518.        814.141        3508.46        8.88828        5.03376     
  103033.        814.141        3511.89        8.89911        5.03864     
  104548.        814.141        3515.31        8.90991        5.04351     
  106064.        814.141        3518.72        8.92069        5.04837     
  107579.        814.141        3522.12        8.93144        5.05323     
  109094.        814.141        3525.52        8.94218        5.05808     
  110609.        814.141        3528.90        8.95289        5.06292     
  112124.        814.141        3532.27        8.96359        5.06776     
  113639.        814.141        3535.63        8.97426        5.07257     
  115154.        814.141        3538.98        8.98491        5.07739     
  116669.        814.141        3542.33        8.99554        5.08221     
  118184.        814.141        3545.66        9.00615        5.08701     
  119699.        814.141        3548.99        9.01674        5.09181     
  121214.        814.141        3552.30        9.02731        5.09660     
  122729.        814.141        3555.61        9.03787        5.10139     
  124244.        814.141        3558.90        9.04840        5.10617     
  125759.        814.141        3562.19        9.05891        5.11093     
  127274.        814.141        3565.47        9.06939        5.11569     
  128789.        814.141        3568.74        9.07987        5.12046     
  130304.        814.141        3572.00        9.09033        5.12522     
  131819.        814.141        3575.25        9.10076        5.12997     
  133334.        814.141        3578.49        9.11116        5.13469     
  134849.        814.141        3581.73        9.12156        5.13943     
  136365.        814.141        3584.95        9.13193        5.14415     
  137880.        814.141        3606.96        9.25416        5.21492     
  139395.        814.141        3610.14        9.26461        5.21983     
  140910.        814.141        3613.31        9.27506        5.22475     
  142425.        814.141        3616.49        9.28553        5.22970     
  143940.        814.141        3619.65        9.29595        5.23461     
  145455.        814.141        3622.79        9.30629        5.23947     
  146970.        814.141        3625.94        9.31671        5.24440     
  148485.        814.141        3629.07        9.32705        5.24927     
  150000.        814.141        3632.20        9.33740        5.25416     
  10.0000        828.283        3238.52        8.06463        4.65643     
  1525.05        828.283        3242.95        8.07623        4.66287     
  3040.10        828.283        3247.48        8.08964        4.66911     
  4555.15        828.283        3252.04        8.10304        4.67534     
  6070.20        828.283        3256.63        8.11641        4.68155     
  7585.25        828.283        3261.16        8.12969        4.68770     
  9100.30        828.283        3265.68        8.14303        4.69387     
  10615.4        828.283        3278.06        8.18374        4.71985     
  12130.4        828.283        3282.27        8.19611        4.72520     
  13645.5        828.283        3286.46        8.20843        4.73053     
  15160.5        828.283        3290.64        8.22076        4.73586     
  16675.6        828.283        3294.81        8.23304        4.74118     
  18190.6        828.283        3299.41        8.24695        4.74736     
  19705.7        828.283        3303.63        8.25966        4.75292     
  21220.7        828.283        3307.80        8.27210        4.75835     
  22735.8        828.283        3312.03        8.28494        4.76399     
  24250.8        828.283        3316.12        8.29708        4.76927     
  25765.9        828.283        3320.26        8.30957        4.77474     
  27280.9        828.283        3324.39        8.32202        4.78020     
  28796.0        828.283        3328.46        8.33425        4.78556     
  30311.0        828.283        3332.57        8.34672        4.79104     
  31826.1        828.283        3336.60        8.35884        4.79635     
  33341.1        828.283        3340.62        8.37089        4.80163     
