|6.6.6
dunite_hp02_2.tab                                                                                   
           2
P(bar)  
   10.000000000000000     
   1515.0505050505051     
         100
T(K)    
   800.00000000000000     
   14.141414141414142     
         100
          21
P(bar)         T(K)           Opx(HP)        Pl(h)          O(HP)          di             ru             sph            abL            diL            enL            anL            Sp(JR)         geik           ne             jd             Gt(HP)         ilm            ilm_nol        stv            ab            
  10.0000        800.000        9.27237        1.44449        89.1255       0.149826       0.779207E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.05        800.000        9.29177        1.40750        89.1197       0.173281       0.779691E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3040.10        800.000        9.31119        1.37056        89.1137       0.196738       0.780250E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4555.15        800.000        9.33604        1.32505        89.1052       0.225932       0.780778E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6070.20        800.000        9.35983        1.28115        89.0971       0.254098       0.781301E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7585.25        800.000        9.39123        1.22718        89.0698       0.289012       0.781835E-002            NaN            NaN            NaN            NaN            NaN  0.150127E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9100.30        800.000        9.48990                 NaN   88.9681       0.391981       0.782563E-002            NaN            NaN            NaN            NaN            NaN  0.768375E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN   1.06540     
  10615.4        800.000        10.1807                 NaN   88.6989       0.392835       0.784718E-002            NaN            NaN            NaN            NaN            NaN  0.726434E-001            NaN            NaN  0.647081                 NaN            NaN            NaN            NaN            NaN
  12130.4        800.000        10.1786                 NaN   88.7010       0.392831       0.785155E-002            NaN            NaN            NaN            NaN            NaN  0.726783E-001            NaN            NaN  0.647113                 NaN            NaN            NaN            NaN            NaN
  13645.5        800.000        10.1762                 NaN   88.7020       0.392828       0.785590E-002            NaN            NaN            NaN            NaN            NaN  0.739925E-001            NaN            NaN  0.647145                 NaN            NaN            NaN            NaN            NaN
  15160.5        800.000        10.1741                 NaN   88.7026       0.392824       0.786021E-002            NaN            NaN            NaN            NaN            NaN  0.754378E-001            NaN            NaN  0.647176                 NaN            NaN            NaN            NaN            NaN
  16675.6        800.000        10.1721                 NaN   88.7026       0.392820       0.786449E-002            NaN            NaN            NaN            NaN            NaN  0.774560E-001            NaN            NaN  0.647207                 NaN            NaN            NaN            NaN            NaN
  18190.6        800.000        9.98015                 NaN   88.8031       0.320853       0.787004E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.647344       0.240698                 NaN            NaN            NaN            NaN
  19705.7        800.000        9.94938                 NaN   88.8072       0.311057       0.787446E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.647390       0.277084                 NaN            NaN            NaN            NaN
  21220.7        800.000        9.92568                 NaN   88.8108       0.304218       0.787879E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.647432       0.304024                 NaN            NaN            NaN            NaN
  22735.8        800.000        9.89788                 NaN   88.8146       0.295629       0.788312E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.647476       0.336543                 NaN            NaN            NaN            NaN
  24250.8        800.000        9.86246                 NaN   88.8190       0.283037       0.788748E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.647524       0.380114                 NaN            NaN            NaN            NaN
  25765.9        800.000        9.86338                 NaN   88.8205       0.286035       0.789154E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.647550       0.374687                 NaN            NaN            NaN            NaN
  27280.9        800.000        9.83787                 NaN   88.8240       0.276757       0.789577E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.647592       0.405858                 NaN            NaN            NaN            NaN
  28796.0        800.000        9.82425                 NaN   88.8266       0.273230       0.789987E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.647626       0.420380                 NaN            NaN            NaN            NaN
  30311.0        800.000        9.81065                 NaN   88.8292       0.269703       0.790395E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.647659       0.434910                 NaN            NaN            NaN            NaN
  31826.1        800.000        9.78423                 NaN   88.8326       0.262499       0.790808E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.647699       0.465049                 NaN            NaN            NaN            NaN
  33341.1        800.000        9.77764                 NaN   88.8346       0.260969       0.791206E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.647728       0.471126                 NaN            NaN            NaN            NaN
  34856.2        800.000        9.77186                 NaN   88.8365       0.259682       0.791599E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.647757       0.476265                 NaN            NaN            NaN            NaN
  36371.2        800.000        9.76478                 NaN   88.8385       0.258653       0.791991E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.647785       0.482378                 NaN            NaN            NaN            NaN
  37886.3        800.000        9.75868                 NaN   88.8403       0.258388       0.792379E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.647813       0.486915                 NaN            NaN            NaN            NaN
  39401.3        800.000        9.75676                 NaN   88.8420       0.257955       0.792762E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.647838       0.487567                 NaN            NaN            NaN            NaN
  40916.4        800.000        9.75193                 NaN   88.8437       0.257408       0.793145E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.647865       0.491155                 NaN            NaN            NaN            NaN
  42431.4        800.000        9.74001                 NaN   88.8458       0.255171       0.793528E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.647895       0.503169                 NaN            NaN            NaN            NaN
  43946.5        800.000        9.73809                 NaN   88.8474       0.255319       0.793904E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.647919       0.503331                 NaN            NaN            NaN            NaN
  45461.5        800.000        9.73622                 NaN   88.8489       0.255456       0.794276E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.647944       0.503492                 NaN            NaN            NaN            NaN
  46976.6        800.000        9.73364                 NaN   88.8504       0.255527       0.794647E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.647968       0.504486                 NaN            NaN            NaN            NaN
  48491.6        800.000        9.73046                 NaN   88.8519       0.255544       0.795015E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.647993       0.506185                 NaN            NaN            NaN            NaN
  50006.7        800.000        9.72731                 NaN   88.8533       0.255560       0.795381E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648018       0.507877                 NaN            NaN            NaN            NaN
  51521.7        800.000        9.72731                 NaN   88.8548       0.255536       0.795742E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648040       0.506321                 NaN            NaN            NaN            NaN
  53036.8        800.000        9.72432                 NaN   88.8563       0.255550       0.796103E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648064       0.507752                 NaN            NaN            NaN            NaN
  54551.8        800.000        9.72236                 NaN   88.8577       0.255553       0.796461E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648087       0.508366                 NaN            NaN            NaN            NaN
  56066.9        800.000        9.72079                 NaN   88.8591       0.255550       0.796816E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648110       0.508522                 NaN            NaN            NaN            NaN
  57581.9        800.000        9.73198                 NaN   88.8421       0.255395                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648135       0.509012       0.133811E-001            NaN            NaN            NaN
  59097.0        800.000        9.72954                 NaN   88.8434       0.254601                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648158       0.510918       0.133850E-001            NaN            NaN            NaN
  60612.0        800.000        9.72722                 NaN   88.8448       0.253991                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648181       0.512411       0.133888E-001            NaN            NaN            NaN
  62127.1        800.000        9.72652                 NaN   88.8461       0.253267                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648203       0.512494       0.133926E-001            NaN            NaN            NaN
  63642.1        800.000        9.72406                 NaN   88.8475       0.253879                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648225       0.512962       0.133963E-001            NaN            NaN            NaN
  65157.2        800.000        9.72050                 NaN   88.8490       0.251748                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648248       0.517110       0.134001E-001            NaN            NaN            NaN
  66672.2        800.000        9.71819                 NaN   88.8503       0.252629                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648270       0.517209       0.134038E-001            NaN            NaN            NaN
  68187.3        800.000        9.71859                 NaN   88.8516       0.250651                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648291       0.517496       0.134074E-001            NaN            NaN            NaN
  69702.3        800.000        9.71581                 NaN   88.8528       0.252063                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648312       0.517558       0.134111E-001            NaN            NaN            NaN
  71217.4        800.000        9.71438                 NaN   88.8541       0.252061                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648333       0.517710       0.134147E-001            NaN            NaN            NaN
  72732.4        800.000        9.71325                 NaN   88.8554       0.251697                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648353       0.517871                 NaN  0.133946E-001            NaN            NaN
  74247.5        800.000        9.71259                 NaN   88.8565       0.251072                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648374       0.518076                 NaN  0.133982E-001            NaN            NaN
  75762.5        800.000        9.71162                 NaN   88.8577       0.250626                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648394       0.518258                 NaN  0.134018E-001            NaN            NaN
  77277.6        800.000        9.71048                 NaN   88.8589       0.250347                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648414       0.518404                 NaN  0.134054E-001            NaN            NaN
  78792.6        800.000        9.70949                 NaN   88.8601       0.249951                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648434       0.518574                 NaN  0.134089E-001            NaN            NaN
  80307.7        800.000        9.70840                 NaN   88.8614       0.249599                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648454       0.518737                 NaN  0.134124E-001            NaN            NaN
  81822.7        800.000        9.70759                 NaN   88.8624       0.249177                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648473       0.518932                 NaN  0.134159E-001            NaN            NaN
  83337.8        800.000        9.70684                 NaN   88.8636       0.248549                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648493       0.519140                 NaN  0.134194E-001            NaN            NaN
  84852.8        800.000        9.70561                 NaN   88.8648       0.248360                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648512       0.519253                 NaN  0.134228E-001            NaN            NaN
  86367.9        800.000        9.70497                 NaN   88.8657       0.247745                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648532       0.519589                 NaN  0.134263E-001            NaN            NaN
  87882.9        800.000        9.70399                 NaN   88.8669       0.247475                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648550       0.519641                 NaN  0.134296E-001            NaN            NaN
  89398.0        800.000        9.70314                 NaN   88.8680       0.247029                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648569       0.519833                 NaN  0.134330E-001            NaN            NaN
  90913.0        800.000        9.70214                 NaN   88.8690       0.246644                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648588       0.520152                 NaN  0.134364E-001            NaN            NaN
  92428.1        800.000        9.70128                 NaN   88.8701       0.246249                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648607       0.520366                 NaN  0.134397E-001            NaN            NaN
  93943.1        800.000        9.70065                 NaN   88.8711       0.245632                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648625       0.520526                 NaN  0.134430E-001            NaN            NaN
  95458.2        800.000        9.70005                 NaN   88.8722       0.245028                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648643       0.520660                 NaN  0.134462E-001            NaN            NaN
  96973.2        800.000        9.69926                 NaN   88.8732       0.244567                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648661       0.520855                 NaN  0.134495E-001            NaN            NaN
  98488.3        800.000        9.69844                 NaN   88.8742       0.244138                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648679       0.521040                 NaN  0.134527E-001            NaN            NaN
  100003.        800.000        9.69764                 NaN   88.8753       0.243710                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648697       0.521225                 NaN  0.134560E-001            NaN            NaN
  101518.        800.000        9.69699                 NaN   88.8763       0.243137                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648714       0.521393                 NaN  0.134591E-001            NaN            NaN
  103033.        800.000        9.69635                 NaN   88.8773       0.242566                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648732       0.521560                 NaN  0.134623E-001            NaN            NaN
  104548.        800.000        9.69580                 NaN   88.8783       0.241929                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648749       0.521734                 NaN  0.134655E-001            NaN            NaN
  106064.        800.000        9.69555                 NaN   88.8792       0.241044                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648766       0.521939                 NaN  0.134686E-001            NaN            NaN
  107579.        800.000        9.69490                 NaN   88.8803       0.240502                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648783       0.522081                 NaN  0.134717E-001            NaN            NaN
  109094.        800.000        9.69446                 NaN   88.8812       0.239788                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648800       0.522254                 NaN  0.134748E-001            NaN            NaN
  110609.        800.000        9.69403                 NaN   88.8822       0.239075                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648817       0.522427                 NaN  0.134778E-001            NaN            NaN
  112124.        800.000        9.69361                 NaN   88.8831       0.238362                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648834       0.522634                 NaN  0.134809E-001            NaN            NaN
  113639.        800.000        9.69320                 NaN   88.8840       0.237648                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648850       0.522789                 NaN  0.134839E-001            NaN            NaN
  115154.        800.000        9.69279                 NaN   88.8850       0.236935                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648866       0.522944                 NaN  0.134869E-001            NaN            NaN
  116669.        800.000        9.69239                 NaN   88.8859       0.236221                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648883       0.523134                 NaN  0.134899E-001            NaN            NaN
  118184.        800.000        9.69200                 NaN   88.8868       0.235508                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648899       0.523328                 NaN  0.134929E-001            NaN            NaN
  119699.        800.000        9.69150                 NaN   88.8877       0.234927                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648915       0.523505                 NaN  0.134958E-001            NaN            NaN
  121214.        800.000        9.69073                 NaN   88.8886       0.234640                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648931       0.523644                 NaN  0.134988E-001            NaN            NaN
  122729.        800.000        9.68996                 NaN   88.8895       0.234354                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648947       0.523781                 NaN  0.135017E-001            NaN            NaN
  124244.        800.000        9.68992                 NaN   88.8904       0.233300                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648962       0.523951                 NaN  0.135046E-001            NaN            NaN
  125759.        800.000        9.69009                 NaN   88.8913       0.232018                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648978       0.524129                 NaN  0.135074E-001            NaN            NaN
  127274.        800.000        9.69003                 NaN   88.8922       0.230999                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648993       0.524304                 NaN  0.135103E-001            NaN            NaN
  128789.        800.000        9.68917                 NaN   88.8930       0.230855                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.649009       0.524466                 NaN  0.135131E-001            NaN            NaN
  130304.        800.000        9.68831                 NaN   88.8938       0.230711                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.649024       0.524628                 NaN  0.135160E-001            NaN            NaN
  131819.        800.000        9.68852                 NaN   88.8947       0.229418                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.649039       0.524789                 NaN  0.135187E-001            NaN            NaN
  133334.        800.000        9.68801                 NaN   88.8956       0.228918                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.649054       0.524949                 NaN  0.135215E-001            NaN            NaN
  134849.        800.000        9.68789                 NaN   88.8964       0.228046                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.649069       0.525112                 NaN  0.135243E-001            NaN            NaN
  136365.        800.000                 NaN            NaN   96.2697       0.225326                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.652496       0.528214                 NaN  0.135982E-001   2.31064                 NaN
  137880.        800.000                 NaN            NaN   96.2802       0.209124                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.652503       0.529265                 NaN  0.136008E-001   2.31527                 NaN
  139395.        800.000                 NaN            NaN   96.2921       0.191030                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.652511       0.530419                 NaN  0.136033E-001   2.32032                 NaN
  140910.        800.000                 NaN            NaN   96.3033       0.173969                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.652518       0.531516                 NaN  0.136059E-001   2.32514                 NaN
  142425.        800.000                 NaN            NaN   96.3109       0.161772                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.652523       0.532340                 NaN  0.136084E-001   2.32887                 NaN
  143940.        800.000                 NaN            NaN   96.3255       0.139851                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.652532       0.533709                 NaN  0.136110E-001   2.33477                 NaN
  145455.        800.000                 NaN            NaN   96.3364       0.123140                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.652539       0.534786                 NaN  0.136135E-001   2.33950                 NaN
  146970.        800.000                 NaN            NaN   96.3487       0.104521                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.652547       0.535961                 NaN  0.136160E-001   2.34466                 NaN
  148485.        800.000                 NaN            NaN   96.3615       0.852093E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.652554       0.537170                 NaN  0.136185E-001   2.34998                 NaN
  150000.        800.000                 NaN            NaN   96.3743       0.658985E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.652562       0.538378                 NaN  0.136210E-001   2.35529                 NaN
  10.0000        814.141        9.27171        1.44397        89.1265       0.150005       0.779103E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.05        814.141        9.29111        1.40699        89.1206       0.173458       0.779589E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3040.10        814.141        9.31120        1.36913        89.1143       0.197532       0.780150E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4555.15        814.141        9.33157        1.33065        89.1079       0.222061       0.780669E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6070.20        814.141        9.35464        1.28793        89.1002       0.249449       0.781190E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7585.25        814.141        9.38395        1.23609        89.0847       0.282939       0.781722E-002            NaN            NaN            NaN            NaN            NaN  0.454569E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9100.30        814.141        9.48824                 NaN   88.9776       0.391971       0.782463E-002            NaN            NaN            NaN            NaN            NaN  0.689436E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN   1.06541     
  10615.4        814.141        10.1789                 NaN   88.7097       0.392827       0.784619E-002            NaN            NaN            NaN            NaN            NaN  0.637698E-001            NaN            NaN  0.647008                 NaN            NaN            NaN            NaN            NaN
  12130.4        814.141        10.1768                 NaN   88.7107       0.392823       0.785057E-002            NaN            NaN            NaN            NaN            NaN  0.647319E-001            NaN            NaN  0.647039                 NaN            NaN            NaN            NaN            NaN
  13645.5        814.141        10.1746                 NaN   88.7125       0.392819       0.785493E-002            NaN            NaN            NaN            NaN            NaN  0.651766E-001            NaN            NaN  0.647071                 NaN            NaN            NaN            NaN            NaN
  15160.5        814.141        10.1725                 NaN   88.7125       0.392815       0.785925E-002            NaN            NaN            NaN            NaN            NaN  0.672391E-001            NaN            NaN  0.647102                 NaN            NaN            NaN            NaN            NaN
  16675.6        814.141        10.1704                 NaN   88.7130       0.392811       0.786354E-002            NaN            NaN            NaN            NaN            NaN  0.688552E-001            NaN            NaN  0.647133                 NaN            NaN            NaN            NaN            NaN
  18190.6        814.141        9.99317                 NaN   88.8030       0.326645       0.786899E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.647262       0.222058                 NaN            NaN            NaN            NaN
  19705.7        814.141        9.95146                 NaN   88.8081       0.312872       0.787350E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.647315       0.272424                 NaN            NaN            NaN            NaN
  21220.7        814.141        9.93068                 NaN   88.8114       0.306315       0.787783E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.647356       0.296347                 NaN            NaN            NaN            NaN
  22735.8        814.141        9.89594                 NaN   88.8157       0.295030       0.788222E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.647404       0.337997                 NaN            NaN            NaN            NaN
  24250.8        814.141        9.90512                 NaN   88.8166       0.301210       0.788625E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.647425       0.321743                 NaN            NaN            NaN            NaN
  25765.9        814.141        9.84995                 NaN   88.8225       0.281658       0.789073E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.647484       0.390555                 NaN            NaN            NaN            NaN
  27280.9        814.141        9.83828                 NaN   88.8249       0.278875       0.789485E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.647517       0.402507                 NaN            NaN            NaN            NaN
  28796.0        814.141        9.82598                 NaN   88.8274       0.275345       0.789896E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.647551       0.415794                 NaN            NaN            NaN            NaN
  30311.0        814.141        9.79738                 NaN   88.8311       0.267695       0.790315E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.647593       0.448345                 NaN            NaN            NaN            NaN
  31826.1        814.141        9.78712                 NaN   88.8334       0.265020       0.790718E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.647624       0.458965                 NaN            NaN            NaN            NaN
  33341.1        814.141        9.77782                 NaN   88.8355       0.263088       0.791117E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.647655       0.467982                 NaN            NaN            NaN            NaN
  34856.2        814.141        9.77490                 NaN   88.8373       0.262231       0.791510E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.647682       0.469989                 NaN            NaN            NaN            NaN
  36371.2        814.141        9.76507                 NaN   88.8395       0.259944       0.791905E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.647712       0.479899                 NaN            NaN            NaN            NaN
  37886.3        814.141        9.76160                 NaN   88.8410       0.260913       0.792291E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.647738       0.480781                 NaN            NaN            NaN            NaN
  39401.3        814.141        9.75239                 NaN   88.8431       0.258978       0.792680E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.647767       0.489795                 NaN            NaN            NaN            NaN
  40916.4        814.141        9.74760                 NaN   88.8449       0.258074       0.793063E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.647794       0.493698                 NaN            NaN            NaN            NaN
  42431.4        814.141        9.74078                 NaN   88.8469       0.256532       0.793444E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.647821       0.500071                 NaN            NaN            NaN            NaN
  43946.5        814.141        9.73889                 NaN   88.8484       0.256668       0.793820E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.647846       0.500232                 NaN            NaN            NaN            NaN
  45461.5        814.141        9.73439                 NaN   88.8501       0.256425       0.794195E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.647872       0.503309                 NaN            NaN            NaN            NaN
  46976.6        814.141        9.73181                 NaN   88.8515       0.256496       0.794566E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.647896       0.504304                 NaN            NaN            NaN            NaN
  48491.6        814.141        9.73017                 NaN   88.8530       0.256494       0.794934E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.647920       0.504452                 NaN            NaN            NaN            NaN
  50006.7        814.141        9.72838                 NaN   88.8544       0.255505       0.795300E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.647944       0.505805                 NaN            NaN            NaN            NaN
  51521.7        814.141        9.72678                 NaN   88.8559       0.255562       0.795663E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.647968       0.505804                 NaN            NaN            NaN            NaN
  53036.8        814.141        9.72210                 NaN   88.8575       0.255004       0.796025E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.647992       0.509439                 NaN            NaN            NaN            NaN
  54551.8        814.141        9.71916                 NaN   88.8588       0.255095       0.796384E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648016       0.510943                 NaN            NaN            NaN            NaN
  56066.9        814.141        9.71915                 NaN   88.8602       0.255808       0.796739E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648038       0.508813                 NaN            NaN            NaN            NaN
  57581.9        814.141        9.71772                 NaN   88.8616       0.255802       0.797093E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648061       0.508812                 NaN            NaN            NaN            NaN
  59097.0        814.141        9.72362                 NaN   88.8448       0.253881                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648089       0.516198       0.133844E-001            NaN            NaN            NaN
  60612.0        814.141        9.72614                 NaN   88.8459       0.254662                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.648109       0.511799       0.133881E-001            NaN            NaN            NaN
